Timestamp,TSX_Computed_Density
2023-04-21 21:59:57,2.0176330067542326e-13
2023-04-21 22:00:12,2.15568559770896e-13
2023-04-21 22:00:27,2.27728744854769e-13
2023-04-21 22:00:42,2.483680539425756e-13
2023-04-21 22:00:57,2.678421643419281e-13
2023-04-21 22:01:12,2.858176884705387e-13
2023-04-21 22:01:27,3.0263471291055935e-13
2023-04-21 22:01:42,3.2050452549548844e-13
2023-04-21 22:01:57,3.386953910931671e-13
2023-04-21 22:02:12,3.562237641523254e-13
2023-04-21 22:02:27,3.730477144587928e-13
2023-04-21 22:02:42,3.8912208278349885e-13
2023-04-21 22:02:57,4.027474397973173e-13
2023-04-21 22:03:12,4.1786954558219486e-13
2023-04-21 22:03:27,4.3156646573142037e-13
2023-04-21 22:03:42,4.4584626228635786e-13
2023-04-21 22:03:57,4.593842651067184e-13
2023-04-21 22:04:12,4.721832990243583e-13
2023-04-21 22:04:27,4.82721945384079e-13
2023-04-21 22:04:42,4.935371481400389e-13
2023-04-21 22:04:57,5.04348137933194e-13
2023-04-21 22:05:12,5.15989851966475e-13
2023-04-21 22:05:27,5.270169109705448e-13
2023-04-21 22:05:42,5.379563575248755e-13
2023-04-21 22:05:57,5.353331290598268e-13
2023-04-21 22:06:12,5.397093458086382e-13
2023-04-21 22:06:27,5.523102062511697e-13
2023-04-21 22:06:42,5.65479174163539e-13
2023-04-21 22:06:57,5.783709621899542e-13
2023-04-21 22:07:12,5.789576967180533e-13
2023-04-21 22:07:27,5.745821390397572e-13
2023-04-21 22:07:42,5.821493501142617e-13
2023-04-21 22:07:57,5.943766408441572e-13
2023-04-21 22:08:12,5.984578685538711e-13
2023-04-21 22:08:27,6.011749261916729e-13
2023-04-21 22:08:42,6.047959119233137e-13
2023-04-21 22:08:57,6.081624924210576e-13
2023-04-21 22:09:12,6.115451602938869e-13
2023-04-21 22:09:27,6.147936136819729e-13
2023-04-21 22:09:42,6.206349458870022e-13
2023-04-21 22:09:57,6.221393169825769e-13
2023-04-21 22:10:12,6.240833756998978e-13
2023-04-21 22:10:27,6.178000006615491e-13
2023-04-21 22:10:42,6.192052364235779e-13
2023-04-21 22:10:57,6.352420221720724e-13
2023-04-21 22:11:12,6.394117606071484e-13
2023-04-21 22:11:27,6.410967357577372e-13
2023-04-21 22:11:42,6.398540561177402e-13
2023-04-21 22:11:57,6.343678345224964e-13
2023-04-21 22:12:12,6.355969726915588e-13
2023-04-21 22:12:27,6.358165970243078e-13
2023-04-21 22:12:42,6.375631236858264e-13
2023-04-21 22:12:57,6.441720807720011e-13
2023-04-21 22:13:12,6.447245523707521e-13
2023-04-21 22:13:27,6.360395994406393e-13
2023-04-21 22:13:42,6.339179719955432e-13
2023-04-21 22:13:57,6.330587572076392e-13
2023-04-21 22:14:12,6.325837644067182e-13
2023-04-21 22:14:27,6.363295785379779e-13
2023-04-21 22:14:42,6.353238803922831e-13
2023-04-21 22:14:57,6.320778047059228e-13
2023-04-21 22:15:12,6.270222686602802e-13
2023-04-21 22:15:27,6.211322499040211e-13
2023-04-21 22:15:42,6.194626098980466e-13
2023-04-21 22:15:57,6.135056610661562e-13
2023-04-21 22:16:12,6.058022053075941e-13
2023-04-21 22:16:27,6.049250949846725e-13
2023-04-21 22:16:42,6.018332475557664e-13
2023-04-21 22:16:57,5.941998759273172e-13
2023-04-21 22:17:12,5.836866051247078e-13
2023-04-21 22:17:27,5.773302668352687e-13
2023-04-21 22:17:42,5.732877765894608e-13
2023-04-21 22:17:57,5.646450930930321e-13
2023-04-21 22:18:12,5.543173409783733e-13
2023-04-21 22:18:27,5.442257971836057e-13
2023-04-21 22:18:42,5.378965613589907e-13
2023-04-21 22:18:57,5.33164380161023e-13
2023-04-21 22:19:12,5.242291012929875e-13
2023-04-21 22:19:27,5.149691746812663e-13
2023-04-21 22:19:42,5.065410715551317e-13
2023-04-21 22:19:57,5.091077028870234e-13
2023-04-21 22:20:12,5.072431660952942e-13
2023-04-21 22:20:27,5.009410263231053e-13
2023-04-21 22:20:42,4.935060586325482e-13
2023-04-21 22:20:57,4.82763987548981e-13
2023-04-21 22:21:12,4.822109990026723e-13
2023-04-21 22:21:27,4.869417275975497e-13
2023-04-21 22:21:42,4.841670329424745e-13
2023-04-21 22:21:57,4.844249665269109e-13
2023-04-21 22:22:12,4.842641870248137e-13
2023-04-21 22:22:27,4.731226768073653e-13
2023-04-21 22:22:42,4.671588069572459e-13
2023-04-21 22:22:57,4.658414856480377e-13
2023-04-21 22:23:12,4.685003132673908e-13
2023-04-21 22:23:27,4.772056169255709e-13
2023-04-21 22:23:42,4.727393837690277e-13
2023-04-21 22:23:57,4.635621041177472e-13
2023-04-21 22:24:12,4.76502541251099e-13
2023-04-21 22:24:27,4.926974346308229e-13
2023-04-21 22:24:42,4.945956747040389e-13
2023-04-21 22:24:57,4.950985364059068e-13
2023-04-21 22:25:12,4.980129124188597e-13
2023-04-21 22:25:27,5.021953757848056e-13
2023-04-21 22:25:42,5.05621871412182e-13
2023-04-21 22:25:57,5.129343365154071e-13
2023-04-21 22:26:12,5.174834686384981e-13
2023-04-21 22:26:27,5.21125960347337e-13
2023-04-21 22:26:42,5.251875581934857e-13
2023-04-21 22:26:57,5.279207406507322e-13
2023-04-21 22:27:12,5.345956401962589e-13
