Timestamp,GFO_Computed_Density,GFO_Accelerometer_Density,GFO_JB08,GFO_DTM2000,GFO_NRLMSISE-00
2023-04-22 15:46:27,2.3378018354799886e-13,4.5624164e-13,4.49475714573591e-13,4.960628549897448e-13,4.79923e-13
2023-04-22 15:46:42,2.469695543274544e-13,4.5249052e-13,4.5081664433504e-13,4.983160811846982e-13,4.8093463e-13
2023-04-22 15:46:57,2.521575243145769e-13,4.5202021e-13,4.5222427067527434e-13,5.0083833749713e-13,4.8218607e-13
2023-04-22 15:47:12,2.5884245908310247e-13,4.5161847e-13,4.537137473631615e-13,5.03623363131637e-13,4.836837e-13
2023-04-22 15:47:27,2.706072907715849e-13,4.5055281e-13,4.552969673093936e-13,5.066666580447964e-13,4.854368e-13
2023-04-22 15:47:42,2.8271794440938377e-13,4.4982317e-13,4.569798671392757e-13,5.099602965916504e-13,4.874489e-13
2023-04-22 15:47:57,2.9170494942318156e-13,4.5533788e-13,4.587673040251637e-13,5.134969819210269e-13,4.897237e-13
2023-04-22 15:48:12,2.968898359681456e-13,4.6129693e-13,4.60661815319677e-13,5.17267988244017e-13,4.9227007e-13
2023-04-22 15:48:27,3.0435168242919e-13,4.7303331e-13,4.62666339079936e-13,5.212657456496352e-13,4.9508417e-13
2023-04-22 15:48:42,3.164298418276138e-13,4.7654344e-13,4.64781740761205e-13,5.254808707796411e-13,4.9816574e-13
2023-04-22 15:48:57,3.279388856722674e-13,4.7795371e-13,4.670096648850863e-13,5.299051851468637e-13,5.0152027e-13
2023-04-22 15:49:12,3.336306885286569e-13,4.7703261e-13,4.693500775824421e-13,5.345288920706267e-13,5.051554e-13
2023-04-22 15:49:27,3.248122608910642e-13,4.7745803e-13,4.718039618403242e-13,5.393435465389199e-13,5.0906317e-13
2023-04-22 15:49:42,3.2569753529607743e-13,4.8106633e-13,4.743707323701179e-13,5.443391125657278e-13,5.1324244e-13
2023-04-22 15:49:57,3.4204863093417767e-13,4.8878712e-13,4.770509262034859e-13,5.495069898791705e-13,5.176984e-13
2023-04-22 15:50:12,3.5181080602324175e-13,4.9339468e-13,4.798435659501295e-13,5.548369950481184e-13,5.224241e-13
2023-04-22 15:50:27,3.6931936343689687e-13,5.0019766e-13,4.827488613545761e-13,5.60320440182578e-13,5.274227e-13
2023-04-22 15:50:42,3.7675503393445687e-13,5.0385406e-13,4.85765537000517e-13,5.659470404263461e-13,5.3267726e-13
2023-04-22 15:50:57,3.781722104137419e-13,4.9998457e-13,4.888935441403045e-13,5.717080367182539e-13,5.382032e-13
2023-04-22 15:51:12,3.897162414675653e-13,4.9698764e-13,4.921313393335968e-13,5.77593009539464e-13,5.4397697e-13
2023-04-22 15:51:27,3.909523619578217e-13,4.9655205e-13,4.954786319535148e-13,5.835930750295177e-13,5.5000275e-13
2023-04-22 15:51:42,4.027907905152249e-13,4.9939783e-13,4.98933627922555e-13,5.89697623891422e-13,5.5626776e-13
2023-04-22 15:51:57,4.155144166992537e-13,5.0562928e-13,5.024958068490735e-13,5.958975878595934e-13,5.627725e-13
2023-04-22 15:52:12,4.2908383019330455e-13,5.1064757e-13,5.06163122370985e-13,6.021820995606081e-13,5.69494e-13
2023-04-22 15:52:27,4.452688211175698e-13,5.2356606e-13,5.099348185213871e-13,6.085418457064329e-13,5.764327e-13
2023-04-22 15:52:42,4.572526345249223e-13,5.3089562e-13,5.138085880053478e-13,6.149656569392855e-13,5.835773e-13
2023-04-22 15:52:57,4.694413359303678e-13,5.4892312e-13,5.17783431410101e-13,6.214439568312927e-13,5.9090867e-13
2023-04-22 15:53:12,4.860400098371008e-13,5.5870521e-13,5.218567765760283e-13,6.279652930720016e-13,5.984189e-13
2023-04-22 15:53:27,5.074608723224185e-13,5.7558374e-13,5.260273743238522e-13,6.34519877427582e-13,6.060992e-13
2023-04-22 15:53:42,5.244614314751963e-13,5.8292608e-13,5.302923626251321e-13,6.410960443993406e-13,6.139238e-13
2023-04-22 15:53:57,5.39585129049977e-13,5.9616872e-13,5.346502194346456e-13,6.476839068705522e-13,6.218831e-13
2023-04-22 15:54:12,5.538770732714935e-13,6.0312645e-13,5.39097791776323e-13,6.542717709415075e-13,6.299626e-13
2023-04-22 15:54:27,5.669414639240573e-13,6.1733422e-13,5.436332859357888e-13,6.608498797400093e-13,6.38149e-13
2023-04-22 15:54:42,5.850477303451593e-13,6.2437009e-13,5.482532397833435e-13,6.67406759063591e-13,6.4640903e-13
2023-04-22 15:54:57,6.051663166814769e-13,6.3493696e-13,5.52955567580095e-13,6.739330633354426e-13,6.547529e-13
2023-04-22 15:55:12,6.250832973804194e-13,6.3890219e-13,5.577364803603203e-13,6.80417857021743e-13,6.631325e-13
2023-04-22 15:55:27,6.401699991753075e-13,6.4903734e-13,5.625935875425686e-13,6.868525556668926e-13,6.715466e-13
2023-04-22 15:55:42,6.570188211167979e-13,6.5739706e-13,5.67522773081398e-13,6.932271500205131e-13,6.79976e-13
2023-04-22 15:55:57,6.725472345974793e-13,6.715446e-13,5.725213422363705e-13,6.995342159919836e-13,6.884086e-13
2023-04-22 15:56:12,6.909696691681852e-13,6.781252e-13,5.77584832455641e-13,7.057650518020782e-13,6.968175e-13
2023-04-22 15:56:27,6.909696691681852e-13,6.9687411e-13,5.82710225214292e-13,7.119137691198591e-13,7.0518954e-13
2023-04-22 15:56:42,6.909696691681852e-13,7.0786824e-13,5.87892707054546e-13,7.179733591751279e-13,7.135135e-13
2023-04-22 15:56:57,7.053737116437448e-13,7.282917e-13,5.931289359729097e-13,7.239398401387108e-13,7.2176477e-13
2023-04-22 15:57:12,7.202100265806508e-13,7.3705411e-13,5.98413743863324e-13,7.298082391015539e-13,7.299384e-13
2023-04-22 15:57:27,7.35442420686804e-13,7.5552596e-13,6.037434634511859e-13,7.355767927714266e-13,7.3801723e-13
2023-04-22 15:57:42,7.35442420686804e-13,7.6132883e-13,6.091125737100139e-13,7.41242846690804e-13,7.459928e-13
2023-04-22 15:57:57,7.35442420686804e-13,7.721472e-13,6.145170858046884e-13,7.468070991091714e-13,7.538461e-13
2023-04-22 15:58:12,7.516620735406464e-13,7.7831795e-13,6.199511279142896e-13,7.522694142366759e-13,7.6157695e-13
2023-04-22 15:58:27,7.685206750971154e-13,7.8770435e-13,6.254103937752416e-13,7.57633107905698e-13,7.6917357e-13
2023-04-22 15:58:42,7.852698004995703e-13,7.9223568e-13,6.308886685501692e-13,7.62900679639014e-13,7.766239e-13
2023-04-22 15:58:57,8.005367984742215e-13,8.0140539e-13,6.36381339059834e-13,7.680781352195307e-13,7.839393e-13
2023-04-22 15:59:12,8.170977339739268e-13,8.0661773e-13,6.418818584203694e-13,7.731706382219808e-13,7.9109804e-13
2023-04-22 15:59:27,8.282617111955077e-13,8.1962859e-13,6.473853210424883e-13,7.7818687116994e-13,7.981059e-13
2023-04-22 15:59:42,8.424925503358364e-13,8.2940679e-13,6.52884872241226e-13,7.831346175376273e-13,8.049536e-13
2023-04-22 15:59:57,8.580682200357001e-13,8.4754213e-13,6.583753397289187e-13,7.880251499526404e-13,8.1167435e-13
2023-04-22 16:00:12,8.720705995525595e-13,8.5488245e-13,6.641436237285079e-13,7.92868731486594e-13,8.1822906e-13
2023-04-22 16:00:27,8.860332536663492e-13,8.6722163e-13,6.69967799659195e-13,7.97679040499516e-13,8.246479e-13
2023-04-22 16:00:42,8.978721560285885e-13,8.7144887e-13,6.757673299619061e-13,8.02468595488475e-13,8.309243e-13
