UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,JB08,DTM2000,NRLMSISE00
2023-05-06 00:00:27,1092874.6302398534,18079.29079592556,6773746.100234993,-7488.115487709926,730.1222897200682,1193.6093484830476,,,,-9.689075453733764e-06,8.598948659857553e-07,1.9322856772419073e-06,6.394981100670766e-11,6.133647958644808e-13,1.4096051474081743e-12,1.2281630676866798e-12
2023-05-06 00:00:42,980407.135013962,29028.12448356836,6790711.330294113,-7507.201659395532,729.6887305834695,1068.396619137564,,,,-1.4268681775675418e-05,1.2776501759070857e-06,2.087375808201841e-06,9.3416288631765e-11,6.159515891575601e-13,1.4172953298490119e-12,1.228084283772681e-12
2023-05-06 00:00:57,867668.8977858332,39968.94312311193,6805796.191320457,-7524.215825096582,729.0535575239863,942.8819890617893,,,,2.3895045491162392e-06,-3.7457100136861765e-07,-7.906021313175415e-07,-1.6096739114919656e-11,6.186992371356831e-13,1.4244514629197668e-12,1.2284121410734906e-12
2023-05-06 00:01:12,754691.0430273416,50898.72384310147,6818996.452713498,-7539.153155060105,728.2169310540538,817.0998790000347,,,,3.5827676241328987e-06,-4.990934796833546e-07,-8.41148505514866e-07,-2.377285470412039e-11,6.216459697539446e-13,1.4310405090191198e-12,1.2291522630120446e-12
2023-05-06 00:01:27,641504.7224108522,61814.44502372251,6830308.102495324,-7552.009054616153,727.17903392162,691.0847428125605,,,,-8.078319897464326e-07,-4.7988164997292415e-08,-2.8900796422703934e-08,5.11960409433232e-12,6.248580432822656e-13,1.4370394468838018e-12,1.2303125088065148e-12
2023-05-06 00:01:42,528141.1964106935,72713.0900517219,6839728.003178482,-7562.779869426904,725.9401378166864,564.8711668234318,,,,-1.12336773694377e-06,3.109837345971478e-09,-8.325196709790816e-08,7.155678447357635e-12,6.284470399213891e-13,1.442423317324811e-12,1.2318907299806695e-12
2023-05-06 00:01:57,414631.7653108333,83591.64536155615,6847253.397011646,-7571.462355620228,724.5005530088625,438.4937855527961,,,,8.769101189631812e-08,-1.2056495397871902e-07,-2.2791575382541396e-07,-7.229954999739193e-13,6.32628874969181e-13,1.4471745180510206e-12,1.2338807489640579e-12
2023-05-06 00:02:12,301007.77983183647,94447.10457195902,6852882.170697563,-7578.053970854675,722.8606551441333,311.98729384132827,,,,2.3709908114621925e-07,-1.2992639880637924e-07,-2.0351001417395764e-07,-1.6566201282903849e-12,6.378468853642758e-13,1.4512779926845412e-12,1.2362646469110395e-12
2023-05-06 00:02:27,187300.6128378333,105276.46522248084,6856612.549031685,-7582.552538631346,721.0208546724066,185.386412630227,,,,-1.281504156402935e-07,-1.0331298999632921e-07,-1.2534162507904512e-07,7.388804827001111e-13,6.449272631065335e-13,1.4547269445612784e-12,1.2390354876254014e-12
2023-05-06 00:02:42,73541.6753306209,116076.73335166075,6858443.464726222,-7584.956644290848,718.9816358829107,58.725906942255534,,,,-2.2992268476629274e-07,-1.0546891920926171e-07,-1.2738732380057627e-07,1.4049246422635565e-12,6.518894266634548e-13,1.457515938019595e-12,1.2425380253309923e-12
2023-05-06 00:02:57,-40237.60896527757,126844.91996701992,6858374.20057285,-7585.265250076287,716.7435190332011,-67.95944011704681,,,,-8.771321027140067e-08,-8.619626293282501e-08,-2.2024710411017168e-07,5.217583176962354e-13,6.387370778335308e-13,1.4596474817096522e-12,1.2476454761109137e-12
2023-05-06 00:03:12,-154005.80357210094,137578.04745301857,6856404.73176436,-7583.478064001197,714.3070944148232,-194.6348171926029,,,,-4.95738278205593e-09,-6.778595973422341e-08,-3.169099418443011e-07,4.0372765709660365e-14,6.22325720066803e-13,1.4611255451587333e-12,1.2521485171433796e-12
2023-05-06 00:03:27,-267731.4712167746,148273.14432565705,6852535.380920524,-7579.5951703544715,711.6729874038326,-321.2654049449016,,,,4.772477923964402e-08,-9.4017847923622e-08,-1.8898742837336613e-07,-3.130492160583351e-13,6.144478646715369e-13,1.4619618309556164e-12,1.2567238230226802e-12
2023-05-06 00:03:42,-381383.1841982079,158927.25225015692,6846767.167967916,-7573.617412756004,708.8418936803334,-447.81638034623364,,,,1.266449889403276e-09,-1.2656503167729483e-07,-3.7668637986598696e-08,-7.010624828413988e-14,6.101540739953732e-13,1.462169076615901e-12,1.2617658777250286e-12
2023-05-06 00:03:57,-494929.5250184334,169537.41999495856,6839101.461286308,-7565.546014577229,705.8145441824898,-574.2529243963367,,,,-5.970001404342895e-08,-1.2131860893660473e-07,-3.5467593306748313e-09,3.115175158234623e-13,6.073664342725955e-13,1.461767346440753e-12,1.2672750245024149e-12
2023-05-06 00:04:12,-608339.1074199928,180100.7115921555,6829540.325761478,-7555.382958864836,702.5917405766559,-700.5402378929347,,,,-1.5836250488732162e-07,-7.893862594143819e-08,-2.7813417347033464e-07,1.1285706090102945e-12,6.053326340326432e-13,1.4607773172992066e-12,1.2732256253431234e-12
2023-05-06 00:04:27,-721580.5669328386,190614.19923948793,6818086.174056647,-7543.130611742378,699.1743201227926,-826.6435415531425,,,,-4.4451399228151445e-08,-8.60271854030703e-08,-2.3282585992490112e-07,3.9403104890805236e-13,6.037385731172884e-13,1.4592265268262414e-12,1.279598761964108e-12
