UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,JB08,DTM2000,NRLMSISE00,DTM-2000
2023-05-06 00:05:57,-1395749.1313837594,252487.1937952662,6709814.460830011,-7425.952039511634,674.637396646192,-1577.459300307538,,,,5.174303696620086e-08,-1.0279109635691341e-07,-1.8109122912335354e-07,-1.4318937341509593e-13,5.983092482779286e-13,1.4399667924978177e-12,1.3256695602635234e-12,1.3256695602635234e-12
2023-05-06 00:06:12,-1506940.277240456,262571.3540943359,6685223.189005506,-7399.191338366197,669.8860901212752,-1701.3059607194857,,,,3.528031902177986e-07,-6.986464234914892e-08,-2.198366200190094e-07,-1.9326102848466525e-12,5.978091227881376e-13,1.4354569138602069e-12,1.3344632538890262e-12,1.3344632538890262e-12
2023-05-06 00:06:27,-1617714.6238365432,272582.846921129,6658777.581549967,-7370.381239539418,664.9489135993493,-1824.692658157332,,,,9.410789370001282e-08,-1.1243432246343946e-07,8.703050724534479e-08,-7.836773556536683e-13,5.973937415756899e-13,1.4306905006948545e-12,1.3435122757026428e-12,1.3435122757026428e-12
2023-05-06 00:06:42,-1728041.505859978,282518.89799276344,6630484.879208611,-7339.529369254945,659.8271928051993,-1947.585292886611,,,,-6.916943906531969e-09,-7.702154430910825e-08,3.407562072510473e-07,-5.593743823287542e-13,5.970569099721166e-13,1.4257114335531384e-12,1.3527865546073606e-12,1.3527865546073606e-12
2023-05-06 00:06:57,-1837890.3359921917,292376.74645455636,6600352.663233254,-7306.643727010164,654.5222881299015,-2069.949850355422,,,,-8.982291488379701e-08,-2.7590018436551844e-08,1.2276132288491226e-07,3.254791491130966e-13,5.96795171578082e-13,1.4205673099388177e-12,1.362257131652914e-12,1.3622571316529315e-12
2023-05-06 00:07:12,-1947230.693547049,302153.65824479633,6568389.193301509,-7271.7330377411645,649.0356324403961,-2191.7524907276324,,,,-2.676952592928217e-07,-1.9516647853379258e-08,-5.6727003538981087e-08,1.7399470096647552e-12,5.966041080558097e-13,1.4153027639285397e-12,1.3718897787561637e-12,1.3718897787561635e-12
2023-05-06 00:07:27,-2056032.2469877664,311846.9138008014,6534603.067060756,-7234.806394946014,643.3686939370675,-2312.9594618461488,,,,-6.573047794944388e-08,-1.7316239497855438e-08,-3.355659572434888e-08,4.580506542430962e-13,5.964814927595673e-13,1.409965437502396e-12,1.3816514342514861e-12,1.3816514342514861e-12
2023-05-06 00:07:42,-2164264.854742524,321453.82476303447,6499003.555611646,-7195.873640931952,637.5230096782216,-2433.537187554274,,,,1.7129524376713334e-07,-9.171260428875173e-08,-1.970782701476992e-07,-6.868970807594109e-13,5.964237532786482e-13,1.4045993264149226e-12,1.3915037603638845e-12,1.3915037603638845e-12
2023-05-06 00:07:57,-2271898.475615405,330971.71828661585,6461600.265249116,-7154.944991203334,631.5001492103585,-2553.452194196866,,,,6.096959559442895e-08,-1.1396665366980585e-07,6.052951029289488e-09,-4.425728782778414e-13,5.964292525884544e-13,1.3992507381158858e-12,1.4014097295518746e-12,1.4014097295518746e-12
2023-05-06 00:08:12,-2378903.2799491268,340397.9523821508,6422403.46959199,-7112.031405243804,625.3017431748337,-2672.671242124578,,,,4.1349127233303307e-08,-6.5299090967752e-08,3.007261986098797e-07,-9.609434274248552e-13,5.964948227181512e-13,1.3939616972306585e-12,1.4113271434989466e-12,1.4113271434989466e-12
2023-05-06 00:08:27,-2485249.549320483,349729.9014635297,6381423.773992412,-7067.144204691925,618.9294534048481,-2791.1612106716443,,,,-1.0392497129529946e-07,-5.94916244045507e-08,1.6717177331315725e-07,1.9590561127847346e-13,5.966191064181454e-13,1.3887758935590365e-12,1.4212153687254397e-12,1.4212153687254395e-12
2023-05-06 00:08:42,-2590907.798703932,358964.9747022982,6338672.443411945,-7020.295415826747,612.3850054061246,-2908.889221100807,,,,-3.2865732757514365e-07,3.093566514067447e-10,5.3557793755487644e-08,1.818082638852175e-12,5.967991209623329e-13,1.3837321571594322e-12,1.4310288219616038e-12,1.4310288219616038e-12
2023-05-06 00:08:57,-2695848.6652024942,368100.5988721619,6294161.07106203,-6971.497422159414,605.6701588255836,-3025.822514157763,,,,-8.975742638028805e-08,-1.966553431209661e-08,5.804962377453649e-08,3.703747902679054e-13,5.970336266939037e-13,1.3788703931525514e-12,1.4407238452569197e-12,1.4407238452569197e-12
2023-05-06 00:09:12,-2800043.041035775,377134.23639780935,6247901.903544202,-6920.763331489061,598.7867462024146,-3141.9285665915227,,,,1.1388040732640548e-08,-8.41690049879773e-08,-4.234158801352805e-08,3.0722198566692112e-15,5.973196867938747e-13,1.3742251028638825e-12,1.4502521304377097e-12,1.4502521304377095e-12
2023-05-06 00:09:27,-2903461.9513626276,386063.3680326326,6199907.5120011335,-6868.106617143579,591.736635639811,-3257.1749863678647,,,,-9.762490860154573e-08,-7.094818899044952e-08,2.073327252105628e-07,-3.88409914660904e-14,5.976560706144469e-13,1.3698313511069096e-12,1.4595677747873198e-12,1.4595677747873198e-12
2023-05-06 00:09:42,-3006076.6979823,394885.5121938535,6150191.112349954,-6813.541490277926,584.5217646047073,-3371.529670316325,,,,-1.3413100186099316e-07,-8.674372442563084e-08,1.8646428046054098e-07,1.9861706536553e-13,5.9803981535733e-13,1.3657183605571977e-12,1.4686206783022628e-12,1.4686206783022628e-12
2023-05-06 00:09:57,-3107858.7265258227,403598.2068995947,6098766.240638394,-6757.082524314868,577.1441025059381,-3484.960669842643,,,,-2.0288641211507755e-07,-3.302329715237917e-08,9.599637440516062e-08,8.591815724502844e-13,5.984696468855861e-13,1.3619154971629173e-12,1.477363756238743e-12,1.477363756238743e-12
2023-05-06 00:10:12,-3208779.7813109504,412199.03090775246,6045647.068662104,-6698.745003921317,569.6056771561865,-3597.4363657936024,,,,-1.2452817710340014e-07,-4.3451429121432745e-08,7.831745740816133e-08,4.4566404293151347e-13,5.989425290048117e-13,1.3584459158529716e-12,1.4857462916758126e-12,1.4857462916758126e-12
2023-05-06 00:10:27,-3308811.761301571,420685.5834016651,5990848.083594621,-6638.544564646699,561.9085438429663,-3708.925307306669,,,,-1.3165727441588618e-07,-6.496152060719852e-08,1.1550042255947801e-07,3.4560130076762053e-13,5.994571061179418e-13,1.35533258268344e-12,1.493721312978565e-12,1.4937213129785647e-12
2023-05-06 00:10:42,-3407926.885359376,429055.5045266645,5934384.398373066,-6576.497534326341,554.0548093492681,-3819.3963872409904,,,,-2.03839798373906e-07,-2.6949217968308403e-08,9.976326165173077e-08,7.973698773252548e-13,6.000102420736754e-13,1.3525919732603442e-12,1.501238911631526e-12,1.501238911631526e-12
2023-05-06 00:10:57,-3506097.5372918705,437306.4555507868,5876271.43612859,-6512.620584566084,546.0466074332098,-3928.818673904323,,,,-1.8864262418816224e-07,-3.7874319791519895e-08,3.211182431073212e-10,1.0181226468880129e-12,6.00600484749685e-13,1.3502401331229142e-12,1.5082537682174505e-12,1.5082537682174505e-12
2023-05-06 00:11:12,-3603296.440791997,445436.1412708904,5816525.235004855,-6446.931069767874,537.8861282579437,-4037.161593677145,,,,-8.676414431363355e-08,-1.9371807380430542e-08,-1.2039925323392708e-07,8.729777572055956e-13,6.012245905270482e-13,1.3482864202631396e-12,1.5147184323011985e-12,1.5147184323011983e-12
2023-05-06 00:11:27,-3699496.4947818504,453442.2886352205,5755162.137842586,-6379.446684293145,529.5755915016542,-4144.394757978015,,,,-1.2193480003475088e-08,-3.2576006447904156e-08,-1.5263520225516913e-08,1.0439860817745999e-13,6.018810025205832e-13,1.346739602508763e-12,1.520590969296562e-12,1.5205909692965619e-12
2023-05-06 00:11:42,-3794670.95921469,461322.6696687476,5692199.091258232,-6310.185799545213,521.1172784976164,-4250.488160305056,,,,-3.6798955882488826e-08,-6.525633788889706e-08,6.991392620392389e-08,-8.33745983122865e-14,6.025663598081136e-13,1.3456016180729112e-12,1.525828174386959e-12,1.5258281743869587e-12
