Unnamed: 0,UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,JB08,DTM2000,NRLMSISE00,latitude,longitude,altitude,nrlensys-00,NRLMSISE-00,AccelerometerDensity,EDR Density
0,2021-03-18 21:59:57,1145507.6872881998,-6488779.057567831,1976323.8510537196,504.431871486872,-2132.8898517954026,-7288.015039142083,,,,8.557124604458011e-07,-3.873253922925812e-06,-9.62429036022172e-06,6.66954675912259e-11,3.4247597583943875e-14,6.972849648564865e-14,6.436590627304908e-14,16.814176578433923,133.5808432128971,502759.8777124717,6.109584e-14,6.116809e-14,3.8586472e-14,
1,2021-03-18 22:00:12,1152915.859365726,-6519876.155783983,1866735.3665545224,483.3064001438312,-2013.321222163402,-7323.438685697984,,,,1.0853086289674962e-06,-4.650443051978925e-06,-1.4481586776415868e-05,9.808436367692375e-11,3.4330793322385685e-14,6.948188472686844e-14,6.421070077061522e-14,15.858538002799714,133.53658338103602,502597.9445122443,6.0980734e-14,6.105436e-14,3.8129417e-14,
2,2021-03-18 22:00:27,1160006.1563602278,-6549175.60049842,1756630.7227290242,462.0465777644324,-1893.19154872243,-7356.839205033955,,,,-2.031089503251593e-07,6.619589445477914e-07,2.8004343151089017e-06,-1.8567787413548875e-11,3.4413190937823847e-14,6.921834407855029e-14,6.403892144547226e-14,14.902789769844071,133.49215178601673,502443.3303995809,6.085126e-14,6.09262e-14,3.8634743e-14,
3,2021-03-18 22:00:42,1166776.6141138815,-6576669.264028336,1646040.3513635069,440.65830090607574,-1772.5341516888789,-7388.207134004334,,,,-2.611144536146526e-07,8.985599091460017e-07,4.103231982632849e-06,-2.7088086304372742e-11,3.4494467947116554e-14,6.89392581917073e-14,6.385119469127125e-14,13.946937534456689,133.44756073516697,502296.24748550495,6.0707414e-14,6.078355e-14,3.8970904e-14,
4,2021-03-18 22:00:57,1173225.3060400493,-6602349.230787908,1534994.740620687,419.1474824824156,-1651.3824155436637,-7417.5332516965245,,,,1.004268541660025e-07,-6.146607454127206e-07,-5.630556585423108e-07,4.426258699562346e-12,3.4574504307110134e-14,6.864664479309247e-14,6.364871990297045e-14,12.990986971621856,133.40282214929678,502156.59401109297,6.055067e-14,6.0628e-14,3.9909565e-14,
5,2021-03-18 22:01:12,1179350.455836839,-6626208.433579255,1423524.6041690214,397.5201008321223,-1529.7699818257925,-7444.809306130163,,,,1.0817757223335889e-07,-6.741813134425456e-07,-9.025904859072398e-07,6.5916244424313506e-12,3.4652929321967147e-14,6.834229614043161e-14,6.343244019856124e-14,12.03494389087753,133.35794759356935,502024.6221259099,6.0381096e-14,6.0459775e-14,3.9664295e-14,
6,2021-03-18 22:01:27,1185150.3527803284,-6648240.174665137,1311660.7459448234,375.7821610029548,-1407.7305954392452,-7470.02746515479,,,,2.495835649263256e-08,-2.868312627413161e-07,3.446378360472125e-07,-1.8281777199283597e-12,3.472946321385688e-14,6.80283904277082e-14,6.320366649506167e-14,11.078814227839423,133.3129483093739,501900.4326517551,6.020085e-14,6.028064e-14,4.0448197e-14,
7,2021-03-18 22:01:42,1190623.3981737318,-6668438.385762912,1199434.1054500863,353.93970945401315,-1285.298157689787,-7493.180607007289,,,,3.344569954322196e-08,-2.874694615684348e-07,3.465797862034492e-07,-1.8740132197756543e-12,3.480373431732895e-14,6.770712980930766e-14,6.296374209802532e-14,10.122603998788712,133.26783524492663,501784.2424797202,6.000987e-14,6.0090794e-14,4.0770331e-14,
8,2021-03-18 22:01:57,1195768.0524439884,-6686797.329269651,1086875.688903344,331.99881370972605,-1162.5066492472529,-7514.261985353055,,,,5.8606027586449734e-08,-3.949076567977272e-07,2.8962334086557465e-08,2.2047922984864317e-13,3.4875491175400025e-14,6.73810983386656e-14,6.271442036991642e-14,9.166319291308104,133.22261908542058,501676.0733230717,5.981036e-14,5.9892426e-14,4.1488904e-14,
9,2021-03-18 22:02:12,1200582.900485808,-6703311.960846665,974016.6338236048,309.96558414449703,-1039.3902118359622,-7533.265645184139,,,,3.4330239540025786e-08,-3.121523768356838e-07,1.4654316871087758e-08,1.8993519347445641e-13,3.494434523097242e-14,6.705276504165408e-14,6.24573956776559e-14,8.209966298631869,133.17731028418288,501576.1254605213,5.9603005e-14,5.968627e-14,4.1329785e-14,
