Unnamed: 0,UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,JB08,DTM2000,NRLMSISE00,latitude,longitude,altitude,nrlensys-00,NRLMSISE-00,AccelerometerDensity,EDR Density
0,2021-11-02 21:59:57,-1121721.4195542282,-3186009.9533828315,-5996600.66961393,2426.5429691707186,6153.6763478362645,-3740.447059794364,,,,3.168940334363768e-06,8.130977077414059e-06,-4.398860471432897e-06,6.322981674525979e-11,2.829424834674223e-13,2.710615714487241e-13,3.0452404826970513e-13,-60.800973401646466,238.70216031811287,520579.0785698995,2.5844992e-13,2.5132652e-13,2.6554371e-13,
1,2021-11-02 22:00:12,-1085171.223196322,-3093272.4599670013,-6051880.779475687,2446.7005062314824,6211.026716530458,-3630.0944142807434,,,,4.727270322524291e-06,1.2178035994736549e-05,-5.706480654232848e-06,9.201716380965248e-11,2.773044202370535e-13,2.6869425674877433e-13,2.9749015240999133e-13,-61.746058787349746,238.71184979776396,521099.5405424445,2.5255338e-13,2.4610923e-13,2.6523308e-13,
2,2021-11-02 22:00:27,-1048323.73062525,-2999687.5888104844,-6105498.359038989,2466.184020257579,6266.6646661076675,-3518.7660472811767,,,,-7.415221274786887e-07,-1.9085323805789756e-06,1.166421324860778e-06,-1.525624875005353e-11,2.718106502394725e-13,2.66450252315324e-13,2.906380297776353e-13,-62.69086332161539,238.72610375397397,521611.5137377045,2.467999e-13,2.4099397e-13,2.6518654e-13,
3,2021-11-02 22:00:42,-1011189.09675704,-2905281.1526412964,-6157439.036356846,2484.9885184955874,6320.575842840107,-3406.4925769250067,,,,-1.155471055280799e-06,-3.00529300201191e-06,1.5354706501824469e-06,-2.311104923660788e-11,2.664083424817309e-13,2.643260002154032e-13,2.8397409482208973e-13,-63.63538734358342,238.74541419405068,522114.6988191846,2.4119695e-13,2.3598476e-13,2.6523906e-13,
4,2021-11-02 22:00:57,-973777.5068279012,-2810079.052321462,-6207688.635039808,2503.1090854149124,6372.7460910402,-3293.3047112738855,,,,2.992407106550133e-07,7.655075204837658e-07,-2.88671029302634e-07,5.612563522948144e-12,2.610995744425557e-13,2.623184102936301e-13,2.775052926873637e-13,-64.57963075861588,238.77034585422615,522608.50747777766,2.3575274e-13,2.3108948e-13,2.6487741e-13,
5,2021-11-02 22:01:12,-936099.2673547696,-2714107.541249031,-6256233.760928589,2520.5411143762453,6423.162047181267,-3179.233518118714,,,,4.090496978914615e-07,1.050726138096536e-06,-3.835242647909354e-07,7.679840917685457e-12,2.5588466625833513e-13,2.60422015070566e-13,2.7123596669323405e-13,-65.52359295246825,238.80155019009143,523092.713237321,2.3046924e-13,2.2630739e-13,2.6418665e-13,
6,2021-11-02 22:01:27,-898164.7353752251,-2617393.0192538076,-6303061.3610158935,2537.280133791277,6471.810693053704,-3064.3102160996027,,,,7.181623518093261e-09,2.002694987623954e-08,9.184238169979153e-08,-1.1290650879518693e-13,2.5076439275471754e-13,2.586310993156004e-13,2.651702603934933e-13,-66.46727251596698,238.83978266986503,523566.9602010796,2.2535053e-13,2.2164196e-13,2.6268434e-13,
7,2021-11-02 22:01:42,-859984.348728697,-2519962.119356578,-6348158.964672247,2553.321903384398,6518.679599555289,-2948.566267524271,,,,-4.125986885483712e-09,-7.53655493568317e-09,2.109657000204379e-07,-5.796136664928189e-13,2.457388731645179e-13,2.5693861640223713e-13,2.593109297666415e-13,-67.41066713995833,238.88592440307508,524031.02134090976,2.2039975e-13,2.1709593e-13,2.6297914e-13,
8,2021-11-02 22:01:57,-821568.585720277,-2421841.5934376963,-6391514.408523502,2568.6623051775437,6563.75664977133,-2832.033256651841,,,,9.502934428251565e-08,2.298961572222425e-07,6.056255497099984e-08,1.3519391967911305e-12,2.408088352990936e-13,2.55337489599529e-13,2.536607118680442e-13,-68.35377330876794,238.9410094253287,524484.4986723916,2.156187e-13,2.1267176e-13,2.6046608e-13,
9,2021-11-02 22:02:12,-782928.0057158545,-2323058.435624795,-6433116.175839017,2583.297479070113,6607.030386429729,-2714.7430118794555,,,,1.0956373475146108e-08,1.109714125036021e-07,9.419140223343449e-08,4.33344124574068e-13,2.3597411294573464e-13,2.538191499191939e-13,2.4822073167803845e-13,-69.29658603091049,239.00625941749897,524927.1871937528,2.1100995e-13,2.0837074e-13,2.5957904e-13,
