UTC,Computed Density,JB08,DTM2000,EDR Density,AccelerometerDensity,NRLMSISE-00,NRT Density
2023-05-06 00:49:57,5.981943643557498e-13,3.0963835243760154e-13,8.50970385944657e-13,9.139627811088236e-13,3.3766656e-13,5.210473e-13,5.124893606270494e-13
2023-05-06 00:50:12,5.996747348391034e-13,3.124043555175578e-13,8.545694321606324e-13,9.182737258145673e-13,3.3402393e-13,5.220691e-13,5.142414704299495e-13
2023-05-06 00:50:27,6.015663094490872e-13,3.1484859047120854e-13,8.583593995484106e-13,9.210364852617978e-13,3.3633554e-13,5.243109e-13,5.164449857235901e-13
2023-05-06 00:50:42,6.037940402953132e-13,3.155559603139813e-13,8.623337057433861e-13,9.23535747533234e-13,3.4204657e-13,5.2556e-13,5.190312476024315e-13
2023-05-06 00:50:57,6.062883452182077e-13,3.1551096599732517e-13,8.664851375676465e-13,9.257516338996058e-13,3.5322702e-13,5.28035e-13,5.219332245530554e-13
2023-05-06 00:51:12,6.090070848108232e-13,3.151550889980528e-13,8.708018420625369e-13,9.2815003549112e-13,3.5471463e-13,5.293272e-13,5.251095200728365e-13
2023-05-06 00:51:27,6.12001410297696e-13,3.1467886813076613e-13,8.752714219990442e-13,9.312190954254744e-13,3.5957183e-13,5.318548e-13,5.286125470050015e-13
2023-05-06 00:51:42,6.150648007157668e-13,3.1417293662432056e-13,8.79876971690653e-13,9.34657476185968e-13,3.6334592e-13,5.3317295e-13,5.3223702324784e-13
2023-05-06 00:51:57,6.180059369649057e-13,3.136858679745528e-13,8.846013054768539e-13,9.382371536511338e-13,3.7391081e-13,5.357324e-13,5.357933677840905e-13
2023-05-06 00:52:12,6.209425114127643e-13,3.132446434808067e-13,8.894230551254196e-13,9.418278752979365e-13,3.8707139e-13,5.370714e-13,5.393996618309464e-13
2023-05-06 00:52:27,6.240930323763542e-13,3.128662830937861e-13,8.943210019304542e-13,9.453878879954544e-13,4.2312609e-13,5.396722e-13,5.432728574979453e-13
2023-05-06 00:52:42,6.274469330345898e-13,3.125607922000798e-13,8.992702060083057e-13,9.486077176258392e-13,4.3667368e-13,5.4103575e-13,5.474047411925324e-13
