UTC,AccelerometerDensity,EDR_rolling,POD_rolling,NRT_rolling,DTM2000,JB08,NRLMSISE00
2023-05-06 01:15:57,6.6773727e-13,8.998775542187541e-13,7.346264503156165e-13,8.381587100178798e-13,1.215246601219425e-12,5.323469333871553e-13,1.1873799705259733e-12
2023-05-06 01:16:12,6.6937731e-13,9.001478369365225e-13,7.310334375036891e-13,8.358525967483099e-13,1.2238042175693933e-12,5.341302592382325e-13,1.1911599644048317e-12
2023-05-06 01:16:27,6.7373631e-13,9.004207192291944e-13,7.40850192242575e-13,8.468773699324089e-13,1.2317974145664737e-12,5.358522080218703e-13,1.1948967436554936e-12
2023-05-06 01:16:42,6.7606372e-13,9.009005953059417e-13,7.453679396015882e-13,8.524831075644528e-13,1.2391845953823618e-12,5.375125414386414e-13,1.1986041281286965e-12
2023-05-06 01:16:57,6.8135537e-13,9.013101872318688e-13,7.462623397332413e-13,8.545289022613048e-13,1.2459315907380617e-12,5.391126819281175e-13,1.2022983373869556e-12
2023-05-06 01:17:12,6.8579853e-13,9.018274139402536e-13,7.430012684188525e-13,8.524434570608614e-13,1.2520054751085158e-12,5.406525853470003e-13,1.2059914718992448e-12
2023-05-06 01:17:27,6.981552e-13,9.021523405830717e-13,7.261647910993934e-13,8.365269507768259e-13,1.257381581088865e-12,5.421338767031521e-13,1.2096977126455754e-12
2023-05-06 01:17:42,7.0262479e-13,9.024474736204472e-13,7.268935603839056e-13,8.379325670900348e-13,1.2620371917749966e-12,5.4355671140749e-13,1.2134268190612733e-12
2023-05-06 01:17:57,7.1055908e-13,9.027802909359625e-13,7.340468965520857e-13,8.4588463725593e-13,1.2659584660725124e-12,5.449229167625347e-13,1.2171903665101245e-12
2023-05-06 01:18:12,7.1383184e-13,9.031965775524447e-13,7.386829894905869e-13,8.514126540327658e-13,1.2691339655211285e-12,5.46232827237649e-13,1.2209952284230057e-12
2023-05-06 01:18:27,7.2128748e-13,9.036629755269419e-13,7.468782255823867e-13,8.601585694852998e-13,1.2715615039530664e-12,5.474884530439526e-13,1.224849897840131e-12
2023-05-06 01:18:42,7.2370103e-13,9.042169106832491e-13,7.460663450342185e-13,8.595719083754482e-13,1.2732415704728482e-12,5.486903202968411e-13,1.228758011191329e-12
2023-05-06 01:18:57,7.2627708e-13,9.047366856570002e-13,7.493006151449342e-13,8.632523106006015e-13,1.2741840079661732e-12,5.498406331105306e-13,1.23272468783186e-12
2023-05-06 01:19:12,7.2788749e-13,9.053681924795187e-13,7.527605605092373e-13,8.674085470068931e-13,1.2744012712567418e-12,5.509400871471073e-13,1.2367500259150348e-12
2023-05-06 01:19:27,7.3105306e-13,9.059656977781089e-13,7.621788376185847e-13,8.77313954554146e-13,1.2739149795906822e-12,5.519910535503638e-13,1.240835518891864e-12
2023-05-06 01:19:42,7.3309789e-13,9.067235857980544e-13,7.679409451945391e-13,8.832666067930512e-13,1.2727490782659981e-12,5.529943914729085e-13,1.2449775699704497e-12
2023-05-06 01:19:57,7.3826898e-13,9.073853162789445e-13,7.657900266427738e-13,8.812913239892496e-13,1.27093621735406e-12,5.539526335020096e-13,1.2491739466486485e-12
2023-05-06 01:20:12,7.408008e-13,9.081369969362486e-13,7.695653265862311e-13,8.851977655452971e-13,1.2685108119336154e-12,5.54866783512566e-13,1.2534172821631446e-12
2023-05-06 01:20:27,7.4109302e-13,9.088020236225278e-13,7.667001290581912e-13,8.821828262313964e-13,1.2655152791589009e-12,5.557395162831031e-13,1.2577015970593985e-12
2023-05-06 01:20:42,7.4047527e-13,9.094760413840378e-13,7.713763943254532e-13,8.864568373078e-13,1.2619930585437136e-12,5.565719755173831e-13,1.2620158161661421e-12
2023-05-06 01:20:57,7.4041984e-13,9.101688028785926e-13,7.777337139505525e-13,8.92457828122281e-13,1.2579946866466762e-12,5.573669706861516e-13,1.2663503272645165e-12
2023-05-06 01:21:12,7.3961088e-13,9.10945859451105e-13,7.805714350954972e-13,8.950427957781666e-13,1.2535707837162022e-12,5.581257601999995e-13,1.2706904836620916e-12
2023-05-06 01:21:27,7.3591479e-13,9.116604053737556e-13,7.85759122440847e-13,8.998428668067578e-13,1.2487780245898296e-12,5.588512633559224e-13,1.275023241678382e-12
2023-05-06 01:21:42,7.334982e-13,9.12400519103384e-13,7.877378898411556e-13,9.012496022389337e-13,1.2436721726613562e-12,5.595448496862038e-13,1.2793306948135913e-12
2023-05-06 01:21:57,7.3604362e-13,9.130445345892874e-13,7.911643488835531e-13,9.040356890723339e-13,1.2383139258860712e-12,5.602095429575608e-13,1.2835967486648245e-12
2023-05-06 01:22:12,7.3772463e-13,9.137668963117524e-13,7.938855343116161e-13,9.06072298650565e-13,1.2327619898557617e-12,5.608467931360848e-13,1.2878006427984373e-12
2023-05-06 01:22:27,7.3836569e-13,9.144268718604844e-13,7.99701831869628e-13,9.111015127407672e-13,1.227078882281753e-12,5.614597002044882e-13,1.2919237241986465e-12
2023-05-06 01:22:42,7.3812244e-13,9.15209461214431e-13,8.043938314749194e-13,9.149855526642233e-13,1.2213241518569973e-12,5.620498062713236e-13,1.2959430386299228e-12
2023-05-06 01:22:57,7.401798e-13,9.159010635662008e-13,8.030484787979901e-13,9.12980660249724e-13,1.2155600833493197e-12,5.626202972466401e-13,1.2998381184101933e-12
2023-05-06 01:23:12,7.4117243e-13,9.165951562090606e-13,8.045640707483193e-13,9.139182798544805e-13,1.2098449995882105e-12,5.631727682112116e-13,1.3035845498302046e-12
2023-05-06 01:23:27,7.4112436e-13,9.172461409188679e-13,8.068871140159004e-13,9.15396540308069e-13,1.2042389777480957e-12,5.63710447592323e-13,1.3071608638201128e-12
2023-05-06 01:23:42,7.3980989e-13,9.17934561283794e-13,8.115866888632682e-13,9.188532556249739e-13,1.1987973306472046e-12,5.64234976611412e-13,1.310542163587319e-12
2023-05-06 01:23:57,7.3776913e-13,9.185945712512167e-13,8.17539060915397e-13,9.232882793540774e-13,1.19357629121129e-12,5.647496257703944e-13,1.313707047287037e-12
2023-05-06 01:24:12,7.3684651e-13,9.193322140936506e-13,8.184004601423239e-13,9.225509109095686e-13,1.1886266406239318e-12,5.652560666690104e-13,1.3166312466488253e-12
2023-05-06 01:24:27,7.3532899e-13,9.199915926624093e-13,8.183630508364995e-13,9.209401179312012e-13,1.1839993886526405e-12,5.657575890551528e-13,1.3192945822743408e-12
2023-05-06 01:24:42,7.3596534e-13,9.207084035284606e-13,8.18774912003636e-13,9.197797514712776e-13,1.1797395521860816e-12,5.662558667064284e-13,1.3216746069279098e-12
2023-05-06 01:24:57,7.3767192e-13,9.213374378051837e-13,8.19900133622903e-13,9.19183498257637e-13,1.1758918598107605e-12,5.667541877491998e-13,1.323753596512466e-12
2023-05-06 01:25:12,7.3886355e-13,9.220389671879467e-13,8.199547454225849e-13,9.173034821861674e-13,1.172494710153501e-12,5.672542360988218e-13,1.3255122277618502e-12
2023-05-06 01:25:27,7.4279732e-13,9.226662726663765e-13,8.185752507745019e-13,9.137174619135409e-13,1.1695858465029048e-12,5.677593050393821e-13,1.326936513422978e-12
2023-05-06 01:25:42,7.4565896e-13,9.233245126236285e-13,8.162538993539239e-13,9.09014965489811e-13,1.1671964294656826e-12,5.682710659918137e-13,1.3280114380955185e-12
2023-05-06 01:25:57,7.5133779e-13,9.23866671257771e-13,8.148750997704021e-13,9.053369734836024e-13,1.1653567353931152e-12,5.687927955702864e-13,1.3287278672273757e-12
2023-05-06 01:26:12,7.5362035e-13,9.244377434523777e-13,8.118918575565469e-13,9.001023549402659e-13,1.1640903726801733e-12,5.693261593652434e-13,1.3290761792185606e-12
2023-05-06 01:26:27,7.576344e-13,9.249539787469808e-13,8.170996296093868e-13,9.028294071183425e-13,1.1634199469517616e-12,5.698744224976484e-13,1.329053053598761e-12
2023-05-06 01:26:42,7.5925258e-13,9.256729977553012e-13,8.184006812651173e-13,9.014118985583622e-13,1.163361341532101e-12,5.70439215723956e-13,1.3286550166067949e-12
2023-05-06 01:26:57,7.6499328e-13,9.262515764000572e-13,8.094025199203094e-13,8.897203003016143e-13,1.1639294088816201e-12,5.710237644865747e-13,1.3278851520133016e-12
2023-05-06 01:27:12,7.6842966e-13,9.268017721844035e-13,8.026447025634422e-13,8.802536767177883e-13,1.1651323454202677e-12,5.716296678207274e-13,1.3267466123963185e-12
2023-05-06 01:27:27,7.7173296e-13,9.27191707125784e-13,7.962272492441136e-13,8.707828115339125e-13,1.166977356166442e-12,5.722601171627426e-13,1.3252491725481845e-12
2023-05-06 01:27:42,7.7208422e-13,9.276102981420704e-13,7.981101598215609e-13,8.693127555085006e-13,1.1694650652093762e-12,5.729166671597613e-13,1.32340266315382e-12
2023-05-06 01:27:57,7.7330675e-13,9.28088568646729e-13,8.076552179418539e-13,8.755664601591387e-13,1.1725951867937236e-12,5.736024632227664e-13,1.3212233950321213e-12
2023-05-06 01:28:12,7.7464507e-13,9.287203137992876e-13,8.056403806108466e-13,8.70450484642688e-13,1.1763609725923416e-12,5.743190167417849e-13,1.3187275494323438e-12
2023-05-06 01:28:27,7.7775487e-13,9.291706689634313e-13,7.983459922684006e-13,8.601385346924986e-13,1.1807548688165636e-12,5.750694281441905e-13,1.315937447054644e-12
2023-05-06 01:28:42,7.7858842e-13,9.296524511865213e-13,7.961775058325428e-13,8.549106885677727e-13,1.185762958904275e-12,5.758551525619137e-13,1.3128748864474858e-12
2023-05-06 01:28:57,7.7644741e-13,9.300423865044222e-13,7.952280032332433e-13,8.506867861938219e-13,1.191370641719884e-12,5.766792351661737e-13,1.3095673028067837e-12
2023-05-06 01:29:12,7.7607843e-13,9.3054910488647e-13,7.975964336412206e-13,8.49573898221846e-13,1.1975570828239073e-12,5.77543082302104e-13,1.3060411105808753e-12
2023-05-06 01:29:27,7.7883253e-13,9.310241843796118e-13,7.953826147883064e-13,8.438669428176103e-13,1.2043008992183021e-12,5.784496948893228e-13,1.3023277425842328e-12
2023-05-06 01:29:42,7.7931505e-13,9.31536984092053e-13,7.951647288879114e-13,8.401949611473826e-13,1.211574594586863e-12,5.794004351927946e-13,1.2984570082786514e-12
