MAPE Computed,MAPE JB08,MAPE DTM2000,MAPE NRLMSISE-00,MAPE EDR
16.108320553788136,15.098194438404025,19.283420954678444,11.596673594443851,25.20398350580465
16.51279512995711,15.098194438404025,22.958272640395347,12.741634594817643,31.507097066955566
17.76985020353918,15.329266834458785,23.176053615021736,14.023756280774732,33.743284678438926
18.32959124526674,16.23183468910678,29.076847996982618,14.286240280872285,40.930254603563796
18.532888890114744,16.302225989122434,29.7622850513274,14.661635809289159,42.689615159220125
19.74035545541251,17.598847810576654,31.454432706510357,15.532436005805483,43.114836669355974
20.95064604756733,17.94084200378256,37.0758218673508,16.366711485771322,44.994085057012576
21.320939787460038,18.71451159221047,38.242322435288514,16.4104268107131,46.3896709755416
21.593972149331453,18.75148056828526,38.40211911777251,16.553196146569878,47.18015488419839
21.722642435396974,18.75148056828526,39.27471945978921,17.510053951393196,47.18015488419839
21.722642435396974,18.946390746490145,41.601652129398595,17.510053951393196,48.34784387549641
21.835412036150487,19.390952369636096,41.64669590698542,17.520951337007833,48.347843875496416
22.855443703604166,19.541189058204743,42.21354491109284,17.73887400642441,48.68899688156162
23.813319696482232,19.54118905820475,45.44929786520659,17.73887400642441,49.15267438483261
25.095962201615727,19.59102459369692,45.54097837245988,18.060063289347475,50.73007764970703
26.051191525332253,19.997789307470534,48.593544651630154,18.242340918611717,51.72899604713795
26.265263486037924,20.401293235802083,51.81729308467385,19.458063458958275,51.72899604713795
26.265263486037924,20.898949927177732,52.23767619371937,19.888402310346482,57.46521444772239
26.405888289945903,24.61433616353522,52.23767619371937,20.044323082325306,57.73744652131337
26.539223890547568,24.68710914465082,55.596109195294304,20.431027486807125,62.37784622147638
26.539223890547568,25.138170825988485,56.43903644358783,20.671035439576613,62.67855618755908
26.61479078533566,25.32805740345219,57.35293627682565,20.678240695309654,64.14904991293061
27.807047562354857,25.37826457676569,59.32311016897161,21.485486638722012,68.24054734294818
28.209873139162102,25.73144619367517,59.79700509586461,22.948094715851862,68.68861389734994
28.209873139162102,25.941957821794276,63.85602775283379,23.178235655708768,68.68861389734995
29.688280561527925,26.1181280918206,64.57392898334227,24.602458504902717,70.89056943163396
30.913704550317227,26.456081710211222,65.13463945068672,24.632497127466543,79.46811225638332
34.53938901851644,26.661867211286488,72.54419202494431,25.245822732400725,81.42391568333117
36.864713791841474,27.208757141141728,73.8449358279531,26.42270577901441,92.28046323337935
36.8840188233114,28.514727996549425,74.1972872968543,29.618140511641023,93.26856343214259
37.06844422296134,31.76794058270171,75.86042582986505,29.618140511641023,105.45127108560027
37.812591140548754,32.0495506909268,77.76135114701444,30.615579642370108,121.54370005424342
39.02228736566991,33.54686937701343,82.2050122213679,31.563204481234486,126.33028788283934
39.101927182064436,33.54686937701343,82.2050122213679,32.60248760573833,126.33028788283934
46.66779751691016,34.326200886136554,82.64458503303041,33.53115123438926,126.33028788283934
47.45321310910761,34.80778411423835,91.92933863098773,34.22276365118474,129.5346642243298
49.652482508054085,35.77734842783575,92.27693128314799,34.22276365118474,132.0788397651751
50.793034880854634,37.078653076194485,97.58740281903721,35.779790134696135,137.81380536083728
53.29790719142248,39.15576457956486,104.493480087044,45.04946775377691,147.24946965278377
59.20691162701721,39.895233803258876,104.493480087044,57.85081736498527,155.08984795192904
59.74103516817041,44.668449358043105,131.86824921663606,62.337509988879944,167.60459864369201
64.0801812612932,44.668449358043105,139.6321888317511,62.337509988879944,173.17753508768308
66.27116740281828,44.668449358043105,190.93215387557933,62.337509988879944,187.40396933959596
86.91255518927058,58.25399124800686,190.93215387557933,68.71041403007835,224.92799472954036
88.54597198545794,61.06113645617731,190.93215387557933,83.54097049672896,
