UTC,nc_x,nc_y,nc_z,c_x,c_y,c_z
2021-02-27 21:59:57,-1.133278898527272e-09,4.416078261602712e-09,2.0261925499888244e-09,1.8147593509354703,-7.721000882843504,-2.9998519613380283
2021-02-27 21:59:58,-1.1326433950294365e-09,4.412575220032345e-09,2.031331671734991e-09,1.8141473732132967,-7.717700180430127,-3.0086910669925966
2021-02-27 21:59:59,-1.1320066214165153e-09,4.409064776117658e-09,2.0364632752225306e-09,1.8135331236992003,-7.714389817683173,-3.017526356632623
2021-02-27 22:00:00,-1.1313686143527623e-09,4.405546986132645e-09,2.041587293535792e-09,1.8129166032173225,-7.711069798841766,-3.02635781901071
2021-02-27 22:00:01,-1.130729317337299e-09,4.402021816490582e-09,2.0467037405470882e-09,1.8122978126015812,-7.707740128172755,-3.035185442901394
2021-02-27 22:00:02,-1.130088896058135e-09,4.398489427025579e-09,2.051812609954808e-09,1.8116767526955393,-7.70440080997024,-3.0440092171012667
2021-02-27 22:00:03,-1.129447305292115e-09,4.394949848565806e-09,2.056913779751581e-09,1.8110534243522527,-7.701051848555061,-3.0528291304290454
2021-02-27 22:00:04,-1.1288046229788147e-09,4.391403254559532e-09,2.0620071095213604e-09,1.8104278284341049,-7.697693248274253,-3.0616451717255795
2021-02-27 22:00:05,-1.128160685046894e-09,4.387849463839801e-09,2.0670927003167905e-09,1.8097999658126476,-7.694325013500535,-3.0704573298538467
2021-02-27 22:00:06,-1.1275156120192702e-09,4.384288597746883e-09,2.072170443667278e-09,1.8091698373684193,-7.690947148631761,-3.0792655936988758
2021-02-27 22:00:07,-1.1268695075040042e-09,4.380720691807106e-09,2.0772403295980657e-09,1.8085374439907633,-7.687559658090368,-3.0880699521676283
2021-02-27 22:00:08,-1.12622215393464e-09,4.377145626484223e-09,2.0823024627149428e-09,1.8079027865776391,-7.684162546322845,-3.0968703941888354
2021-02-27 22:00:09,-1.1255735815785721e-09,4.3735634010677435e-09,2.0873568767874454e-09,1.8072658660354208,-7.680755817799194,-3.1056669087127635
2021-02-27 22:00:10,-1.124923892935624e-09,4.369974215024125e-09,2.092403351928511e-09,1.8066266832787048,-7.677339477012403,-3.1144594847109586
2021-02-27 22:00:11,-1.1242730004864848e-09,4.366377875203421e-09,2.0974421222744548e-09,1.8059852392301037,-7.673913528477955,-3.123248111175909
2021-02-27 22:00:12,-1.1236209147951381e-09,4.362774380006184e-09,2.102473190775846e-09,1.8053415348200355,-7.670477976733331,-3.132032777120681
2021-02-27 22:00:13,-1.122967597510512e-09,4.3591638315156215e-09,2.1074964628708374e-09,1.8046955709865242,-7.667032826337561,-3.1408134715784946
2021-02-27 22:00:14,-1.1223131138305305e-09,4.355546269260292e-09,2.112511860534989e-09,1.8040473486749842,-7.663578081870801,-3.1495901836022515
2021-02-27 22:00:15,-1.12165730706214e-09,4.351921569692862e-09,2.1175194758449792e-09,1.803396868838019,-7.660113747933946,-3.1583629022640336
2021-02-27 22:00:16,-1.1210002327048018e-09,4.348289804682795e-09,2.122519275373797e-09,1.8027441324352103,-7.656639829148264,-3.167131616654533
2021-02-27 22:00:17,-1.1203421924414251e-09,4.344651192248949e-09,2.1275111836558535e-09,1.8020891404329147,-7.65315633015512,-3.1758963158824756
2021-02-27 22:00:18,-1.1196830480370462e-09,4.341005699127563e-09,2.132495118607143e-09,1.8014318938040645,-7.64966325561569,-3.1846569890739853
2021-02-27 22:00:19,-1.1190227242188915e-09,4.337353248931344e-09,2.137471142596598e-09,1.8007723935279736,-7.646160610210781,-3.1934136253719387
2021-02-27 22:00:20,-1.118361265994823e-09,4.333693912577616e-09,2.1424392553115294e-09,1.8001106405901415,-7.6426483986406595,-3.202166213935274
