UTC,nc_x,nc_y,nc_z,c_x,c_y,c_z
2023-03-23 10:29:42,-9.639153801484105e-10,-3.306663933874727e-10,1.299598059669527e-09,-8.370400747942737,-0.09325489787669568,-1.3784977954569033
2023-03-23 10:29:43,-9.639004302049609e-10,-3.304418556435259e-10,1.3103984346882502e-09,-8.368871015705455,-0.09340513961200293,-1.3878360041748166
2023-03-23 10:29:44,-9.6389008968959e-10,-3.302173606969514e-10,1.3212082507580863e-09,-8.367330781526933,-0.09355526267422253,-1.3971725107692206
2023-03-23 10:29:45,-9.6388442661793e-10,-3.2999290855599655e-10,1.3320275534061935e-09,-8.36578004655759,-0.09370526688908394,-1.4065073032891968
2023-03-23 10:29:46,-9.638835093356486e-10,-3.2976849923695564e-10,1.3428563878204849e-09,-8.364218811971705,-0.09385515208084107,-1.415840369796093
2023-03-23 10:29:47,-9.63887406516605e-10,-3.2954413276419077e-10,1.3536947988478383e-09,-8.362647078966535,-0.09400491807241193,-1.4251716983626184
2023-03-23 10:29:48,-9.638961871605716e-10,-3.293198091701413e-10,1.364542830992262e-09,-8.361064848761538,-0.09415456468553066,-1.434501277071893
2023-03-23 10:29:49,-9.6390992059225e-10,-3.290955284953416e-10,1.3754005284134044e-09,-8.359472122597666,-0.09430409174090992,-1.4438290940164324
2023-03-23 10:29:50,-9.639286764593844e-10,-3.2887129078841627e-10,1.3862679349244952e-09,-8.357868901736719,-0.09445349905841288,-1.4531551372970857
2023-03-23 10:29:51,-9.639525247306168e-10,-3.2864709610611913e-10,1.3971450939910138e-09,-8.356255187460848,-0.0946027864572344,-1.462479395021934
2023-03-23 10:29:52,-9.639815356940713e-10,-3.28422944513318e-10,1.408032048728716e-09,-8.354630981072138,-0.09475195375608968,-1.4718018553051593
2023-03-23 10:29:53,-9.64015779956209e-10,-3.281988360830226e-10,1.418928841902122e-09,-8.352996283892251,-0.09490100077340882,-1.4811225062658795
2023-03-23 10:29:54,-9.64055328438356e-10,-3.279747708963912e-10,1.429835515922703e-09,-8.351351097262242,-0.09504992732753767,-1.4904413360269753
2023-03-23 10:29:55,-9.64100252377194e-10,-3.277507490427429e-10,1.4407521128473349e-09,-8.349695422542398,-0.09519873323694156,-1.4997583327138986
2023-03-23 10:29:56,-9.64150623321055e-10,-3.275267706195685e-10,1.4516786743765892e-09,-8.348029261112258,-0.0953474183204134,-1.5090734844534897
2023-03-23 10:29:57,-9.642065131290182e-10,-3.2730283573253043e-10,1.4626152418530361e-09,-8.346352614370678,-0.09549598239728212,-1.5183867793727925
2023-03-23 10:29:58,-9.642679939693295e-10,-3.270789444954981e-10,1.473561856259666e-09,-8.344665483736028,-0.0956444252876226,-1.5276982055978914
2023-03-23 10:29:59,-9.64335138316851e-10,-3.2685509703053124e-10,1.4845185582183185e-09,-8.342967870646474,-0.09579274681246441,-1.537007751252765
2023-03-23 10:30:00,-9.644080189521262e-10,-3.2663129346790477e-10,1.4954853879878248e-09,-8.341259776560385,-0.09594094679399896,-1.5463154044581777
2023-03-23 10:30:01,-9.64486708958625e-10,-3.2640753394611906e-10,1.506462385462786e-09,-8.339541202956772,-0.09608902505578297,-1.5556211533305946
2023-03-23 10:30:02,-9.645712817214605e-10,-3.26183818611897e-10,1.5174495901715258e-09,-8.337812151335926,-0.09623698142293896,-1.5649249859811634
2023-03-23 10:30:03,-9.64661810925923e-10,-3.259601476202121e-10,1.5284470412749236e-09,-8.336072623220034,-0.09638481572234912,-1.574226890514728
