UTC,nc_x,nc_y,nc_z,c_x,c_y,c_z
2024-05-08 22:00:42,-7.51606591592835e-09,-8.408573208504536e-09,-6.806060410888732e-09,-0.6787852613179924,1.2919571665133731,8.315580256874803
2024-05-08 22:00:43,-7.514152096305063e-09,-8.410830971410118e-09,-6.806043133160495e-09,-0.6839837773381267,1.2995478124134243,8.313963446360633
2024-05-08 22:00:44,-7.5122379668637e-09,-8.413090348983045e-09,-6.806027541563806e-09,-0.6891814495675477,1.307136873884769,8.312336593760238
2024-05-08 22:00:45,-7.510323065114115e-09,-8.415350936831614e-09,-6.806013215784734e-09,-0.6943782720439716,1.3147243417947136,8.310699699315427
2024-05-08 22:00:46,-7.508407559926364e-09,-8.417612661420963e-09,-6.806000262028181e-09,-0.6995742388097642,1.3223102070145243,8.309052763305276
2024-05-08 22:00:47,-7.5064918920773e-09,-8.419875825457607e-09,-6.805988789037357e-09,-0.7047693439116937,1.3298944604198653,8.307395786045397
2024-05-08 22:00:48,-7.504575320349838e-09,-8.422140181118335e-09,-6.805978419700838e-09,-0.7099635814006505,1.3374770928911972,8.305728767887196
2024-05-08 22:00:49,-7.502658002173736e-09,-8.42440590189846e-09,-6.805969321374201e-09,-0.7151569453313434,1.34505809531413,8.304051709217129
2024-05-08 22:00:50,-7.50073976278309e-09,-8.426674143878079e-09,-6.805961791872092e-09,-0.7203494297619624,1.3526374585797443,8.30236461045598
2024-05-08 22:00:51,-7.498820551291553e-09,-8.428944974699256e-09,-6.805955622909979e-09,-0.7255410287538192,1.3602151735848593,8.300667472058116
2024-05-08 22:00:52,-7.496900734977639e-09,-8.431217326304394e-09,-6.805950625949305e-09,-0.7307317363709609,1.3677912312322644,8.298960294510778
2024-05-08 22:00:53,-7.49498029504212e-09,-8.433491682457362e-09,-6.805947276278715e-09,-0.7359215466797581,1.3753656224309025,8.297243078333352
2024-05-08 22:00:54,-7.493058959743661e-09,-8.435768988964368e-09,-6.805945402185983e-09,-0.7411104537484712,1.3829383380960145,8.29551582407667
2024-05-08 22:00:55,-7.491136570182213e-09,-8.438048742654076e-09,-6.805944886404774e-09,-0.7462984516467963,1.3905093691492405,8.293778532322374
2024-05-08 22:00:56,-7.489213120186336e-09,-8.440330742731422e-09,-6.805945764617992e-09,-0.7514855344453915,1.3980787065186773,8.292031203682223
2024-05-08 22:00:57,-7.487288788456192e-09,-8.442614425615558e-09,-6.805947946917469e-09,-0.7566716962153842,1.4056463411388946,8.290273838797502
2024-05-08 22:00:58,-7.485363179562131e-09,-8.444899970940607e-09,-6.805951253373219e-09,-0.7618569310278653,1.4132122639509168,8.288506438338425
2024-05-08 22:00:59,-7.483436614955469e-09,-8.447187274099769e-09,-6.805955691594797e-09,-0.7670412329533697,1.4207764659021618,8.286729003003579
2024-05-08 22:01:00,-7.481509582525033e-09,-8.449477013334567e-09,-6.80596143330525e-09,-0.7722245960613429,1.4283389379463465,8.284941533519419
2024-05-08 22:01:01,-7.479581644007826e-09,-8.451768686782627e-09,-6.805968241692799e-09,-0.7774070144196032,1.4358996710433556,8.283144030639782
2024-05-08 22:01:02,-7.477652985672692e-09,-8.454062169703265e-09,-6.805976346147777e-09,-0.7825884820937933,1.4434586561590845,8.281336495145476
2024-05-08 22:01:03,-7.475723520449934e-09,-8.456357300461887e-09,-6.805985622167082e-09,-0.7877689931468342,1.4510158842652479,8.279518927843899
2024-05-08 22:01:04,-7.473793195540229e-09,-8.458653889824221e-09,-6.805995918864117e-09,-0.7929485416383684,1.4585713463391639,8.277691329568679
2024-05-08 22:01:05,-7.471861880539337e-09,-8.460953260506355e-09,-6.806007724237908e-09,-0.7981271216242113,1.4661250333635105,8.275853701179429
2024-05-08 22:01:06,-7.469929590211511e-09,-8.463255885139704e-09,-6.806021205901621e-09,-0.8033047271558075,1.4736769363260738,8.2740060435615
2024-05-08 22:01:07,-7.467996490775606e-09,-8.46556057299519e-09,-6.806035861354532e-09,-0.8084813522796861,1.481227046219462,8.272148357625802
2024-05-08 22:01:08,-7.466062466316564e-09,-8.467866643106358e-09,-6.806051495262875e-09,-0.8136569910369329,1.4887753540408168,8.270280644308698
2024-05-08 22:01:09,-7.464127598789692e-09,-8.470175062071759e-09,-6.80606836231577e-09,-0.8188316374626652,1.4963218507915044,8.26840290457191
2024-05-08 22:01:10,-7.462191992017868e-09,-8.472486206733782e-09,-6.8060865111061365e-09,-0.8240052855855343,1.5038665274768146,8.266515139402559
2024-05-08 22:01:11,-7.460255085358618e-09,-8.474800065767803e-09,-6.806105894956297e-09,-0.8291779294272253,1.5114093751056297,8.264617349813138
