,N,Bias,MAE,RMSE,RMS%,r,MAPE(%),logRMSE
JB08,54.0,-2.9918280257270965e-28,3.77695878371244e-13,4.870202643373979e-13,13.89013832643162,0.9111535983274327,10.879695575704341,0.058202489876237634
MSIS,54.0,-1.1967312102908386e-28,4.136911463751707e-13,5.403113280960615e-13,12.540518955360275,0.9544613824079113,10.794907889389263,0.05477045616565683
POD,54.0,-3.1414194270134515e-28,3.6021932628348656e-13,5.638041373588381e-13,12.354659670205242,0.9231912138993223,9.077110635564683,0.05829396664608031
EDR,54.0,-2.9918280257270965e-28,4.2822894726207305e-13,5.681814129324769e-13,13.8821206508915,0.9877453084708262,11.496566499971388,0.06333709642969114
TLE,54.0,4.4877420385906447e-29,7.019085021361993e-13,9.815918696612563e-13,23.127212622294916,0.5006280280237185,18.436892870153006,0.10322516851033392
