,N,Bias,MAE,RMSE,RMS%,r,MAPE(%),logRMSE
JB08,39.0,1.6570124450180842e-28,2.5037465099860136e-13,3.7383750408085215e-13,14.054227938464825,0.7713373811149623,9.33294109150739,0.059946067563063206
MSIS,39.0,-2.1748288340862355e-28,1.2398116710218159e-13,1.6512507566348363e-13,7.192203598223316,0.9427656059545891,5.062226092184964,0.029670369272130636
POD,39.0,-8.285062225090421e-29,2.2751555655805484e-13,3.343112839027677e-13,12.943190732059273,0.8349230200537961,8.923849183681371,0.05864621730613815
EDR,39.0,-1.0356327781363026e-29,2.99769565304504e-13,4.064879842462016e-13,15.176393291026862,0.8648438537340418,11.757875392580102,0.06445233422820108
TLE,39.0,0.0,4.421314527894335e-13,5.359366299482913e-13,19.31843369040506,0.020554185446084228,17.002202126264628,0.08784372992839756
