,N,Bias,MAE,RMSE,RMS%,r,MAPE(%),logRMSE
JB08,47.0,1.7187097169070555e-29,1.9906911156864107e-13,3.2046886673237184e-13,12.403963092465931,0.7792346770685789,8.433469451613576,0.058029102494839856
MSIS,47.0,0.0,2.0918952403171085e-13,2.9482765770186346e-13,11.23198132289535,0.8571733953992567,8.681658839527351,0.0491308682959498
POD,47.0,-5.156129150721166e-29,2.822806286215226e-13,4.951109668060834e-13,16.91866509069549,0.9223868214717453,11.951049311236412,0.06616119427168142
EDR,47.0,9.452903442988805e-29,2.901998446137337e-13,4.418634243711909e-13,16.923586729344052,0.8607286204197595,12.156775625159684,0.08158159649055044
TLE,47.0,7.73419372608175e-29,3.741251555780682e-13,5.34773621352561e-13,21.302469988903525,0.20282480892686167,15.633566634105044,0.09133830512226555
