,N,Bias,MAE,RMSE,RMS%,r,MAPE(%),logRMSE
JB08,47.0,1.890580688597761e-28,2.248254138051778e-13,3.2411408421156797e-13,10.86224141698394,0.8891490557754871,7.668517637127785,0.04610513663051472
MSIS,47.0,-9.452903442988805e-29,2.9750292508595117e-13,3.873779492411354e-13,15.879466871005778,0.7977221679144206,11.109030866841179,0.06140598922267936
POD,47.0,5.156129150721166e-29,1.9563512213942534e-13,2.4672733663995605e-13,8.206293211547143,0.9833964546159603,6.801069589073692,0.0365340154058937
EDR,47.0,-1.5038710022936735e-28,2.362311678540786e-13,3.032829432976875e-13,10.546197239751468,0.9899285405665176,8.347174542368426,0.048881654281582955
TLE,47.0,-1.4609032593709973e-28,6.94458833156844e-13,8.361316044331199e-13,30.826610147516803,-0.3046153948242414,25.165229356882808,0.12312346721054128
