,N,Bias,MAE,RMSE,RMS%,r,MAPE(%),logRMSE
JB08,46.0,3.687753240407095e-28,3.810155905670209e-13,5.229159885939283e-13,8.248262087231312,0.950878403584593,6.339174125476226,0.035137853341211056
MSIS,46.0,-2.9853240517581245e-28,3.1162546234795953e-13,3.762046169558886e-13,6.269805617238812,0.8626452346338102,5.322462231759633,0.027115475825684594
POD,46.0,-4.0389678347315804e-28,4.068196087451597e-13,5.770674554100799e-13,9.012592583004958,0.9481695082392352,6.8267772444882535,0.03702787901529654
EDR,46.0,8.253542966625404e-28,3.511044972822963e-13,4.600959907290796e-13,7.672910524304057,0.9712922307824877,5.989924422904967,0.03356891823548583
TLE,46.0,2.9853240517581245e-28,5.436342150485379e-13,7.097842291093884e-13,11.622229703166052,0.2512345014156009,9.096726523281813,0.050686037686285754
