,N,Bias,MAE,RMSE,RMS%,r,MAPE(%),logRMSE
JB08,47.0,-1.7187097169070555e-29,3.7320366257094236e-13,5.370750591836306e-13,7.899063352280004,0.8816481789492917,5.849624424177369,0.03473546490450439
MSIS,47.0,-3.0936774904327e-28,2.5864467928057447e-13,3.6074580865116754e-13,5.694513784458558,0.9490668538189143,4.276250762338461,0.024878597830322858
POD,46.0,1.2292510801356985e-28,3.540003189258739e-13,4.856367860665672e-13,7.138458936162971,0.9396877923803283,5.598171141649538,0.031799725320351475
EDR,47.0,2.4061936036698776e-28,3.9578122486033724e-13,4.932853773552798e-13,7.760140765202117,0.9760834258463729,6.525046018138945,0.033239100667408414
TLE,47.0,2.7499355470512887e-28,5.16669425887146e-13,7.040459553597481e-13,10.25450017891872,0.6541740013690793,8.21900860094527,0.04765902451444571
