,N,Bias,MAE,RMSE,RMS%,r,MAPE(%),logRMSE
JB08,47.0,4.296774292267639e-29,4.564325053636854e-13,6.233739052188757e-13,12.614819337054783,0.9745423055821449,10.394083511170312,0.053710568194524584
MSIS,47.0,-1.4609032593709973e-28,1.155057496443659e-12,1.5403793351302806e-12,28.14976592651126,0.9267322090574679,25.88522614935032,0.1165986961275919
POD,47.0,8.593548584535277e-30,8.271643366424407e-13,1.0397038431745082e-12,21.489456173578112,0.9910131790199901,19.856109461993775,0.1025376248950178
EDR,47.0,-1.4609032593709973e-28,1.0941361603814758e-12,1.3983023084145246e-12,28.662488334457553,0.9991073876886278,25.94718566649145,0.1478575190779786
TLE,47.0,-1.8046452027524082e-28,1.7833581164148228e-12,2.5997762469529178e-12,54.606958939434925,0.3618101364728768,37.407303464596104,0.19184631317228412
