,N,Bias,MAE,RMSE,RMS%,r,MAPE(%),logRMSE
JB08,54.0,9.723441083613063e-29,8.364685026856623e-13,1.0955964620039118e-12,29.645238030121533,0.8629747377242963,22.24349248067414,0.11617417164361378
MSIS,54.0,-5.983656051454193e-29,1.0682505403003749e-12,1.3667346197269865e-12,39.25915835184135,0.819020482507718,29.741994124683877,0.1390704209632978
POD,54.0,2.9918280257270965e-29,8.755057856385945e-13,1.1395956068348926e-12,26.302234981421208,0.8800977193302036,21.603413918114395,0.11647168864694833
EDR,54.0,4.3381506373042905e-28,9.756141502678925e-13,1.25423791553388e-12,27.214257042586986,0.8856335089133056,23.277441735696193,0.1258126745667757
TLE,54.0,7.479570064317741e-29,1.7876680663517323e-12,2.422642310592213e-12,52.04567629707408,0.3292598263368477,40.28656084181994,0.2075405524063438
