,N,Bias,MAE,RMSE,RMS%,r,MAPE(%),logRMSE
JB08,47.0,-2.5780645753605834e-28,1.0226931462216592e-12,1.2148076390809082e-12,22.42992975831587,0.7733064980245414,19.598399416332605,0.10273625260022927
MSIS,47.0,-2.2343226319791722e-28,5.253306284419619e-13,6.080677749036188e-13,11.094901152001068,0.8774566740496016,9.809746553967333,0.04713476548189246
POD,47.0,1.0312258301442332e-28,4.155505916448891e-13,5.116637246766263e-13,8.643314142148865,0.9817517294831989,7.545918799527722,0.037636091766983015
EDR,47.0,-1.7187097169070555e-29,5.43850922356846e-13,6.532907306543252e-13,11.436039245549253,0.9924736232001674,9.978880260856496,0.05099400164064209
TLE,47.0,1.54683874521635e-28,1.0019261898228964e-12,1.1990179011093706e-12,22.678673477873748,0.46085774337478835,19.219594315791642,0.09283207162395947
