,N,Bias,MAE,RMSE,RMS%,r,MAPE(%),logRMSE
JB08,34.0,-4.7517268643900946e-29,8.053461210431468e-13,9.589963608750463e-13,16.743757187961826,0.9168338981793569,14.164575914139268,0.0741942674689914
MSIS,34.0,-3.8013814915120757e-28,2.0953207029679586e-13,2.484247258657156e-13,4.319112044660473,0.9582920090474086,3.6244013917235334,0.018600045622146677
POD,34.0,-3.8013814915120757e-28,2.5053049348596684e-13,2.801404816963638e-13,5.041867645303439,0.9904900365544521,4.47069236031671,0.022152456395265533
EDR,34.0,-7.127590296585142e-29,3.755318543753999e-13,4.3617267675861555e-13,7.9453776007801205,0.9859490430802208,6.685251281522653,0.035768089267249566
TLE,34.0,-2.1382770889755426e-28,6.211684846064602e-13,7.312995459122833e-13,12.234300636195652,0.3833315158902371,10.667289431333685,0.05401860740044679
