,N,Bias,MAE,RMSE,RMS%,r,MAPE(%),logRMSE
JB08,47.0,-1.7187097169070555e-28,4.0701172924086976e-13,4.968755710984915e-13,11.656755836153659,0.5027266591734466,9.85719766663337,0.05196138165269082
MSIS,47.0,-2.4061936036698776e-28,3.2431046249588906e-13,3.843328474275574e-13,9.147977382766639,0.7434887958978167,7.762180624031781,0.03937268218011761
POD,47.0,-3.437419433814111e-29,2.321923985082319e-13,3.160938035609318e-13,7.0927704240682985,0.9408384413161092,5.440890223528579,0.03129197604747176
EDR,47.0,1.54683874521635e-28,2.970779870476695e-13,3.777030063666191e-13,8.619590163864373,0.9109485596494048,6.978027313261707,0.037685469358757176
TLE,47.0,-6.015484009174694e-29,8.249306519312065e-13,9.035170906949412e-13,22.378646888073973,0.060408141413375964,20.358364859021126,0.09623863118186114
