MJD,x,y,z,xv,yv,zv,lat,lon,alt,kinetic_energy,monopole,U_j2,U_non_spherical,HOT_total_diff,HOT_plus_total_diff
60068.94354166667,5263016.049850585,-406137.906251268,4398692.14900286,-4855.438462145808,551.6190256966045,5837.487618542517,39.932790520694255,153.64586713114988,13234155.610226117,28977913.95291626,58010685.2521579,6387.228810155105,-0.0,-39573.91874550283,-39573.91874550283
60068.94388888889,5114474.289394908,-389368.220425542,4571349.386994781,-5046.433218363041,566.2571314519621,5671.933775062167,41.83677314023185,153.5790742898623,13233010.918681763,28978984.05750456,58014426.09117724,9058.114053443178,-0.0,-36903.18431445956,-36903.18431445956
60068.944236111114,4960285.839558501,-372168.73289991915,4738945.4384543225,-5231.8499100862555,580.269824743489,5500.106455370001,43.74088202922689,153.51588054160706,13231856.743000701,28980068.78579008,58018199.96047777,11749.986354750838,-0.0,-34214.043299447745,-34214.043299447745
60068.94458333333,4800621.118734497,-354558.4398959649,4901294.943448862,-5411.484469077381,593.6416199842816,5322.196264358635,45.645114420350936,153.45677914774538,13230697.036468502,28981173.80419813,58021999.81105898,14450.982840774011,-0.0,-31519.211126286536,-31519.211126286536
60068.94493055555,4635656.570347032,-336556.7921270125,5058218.351526476,-5585.139301455645,606.3577669695528,5138.400022564718,47.54946669815596,153.40234989145574,13229535.766355753,28982302.77506092,58025818.62125133,17149.186826836492,-0.0,-28829.37179672718,-28829.37179672718
60068.94527777778,4465574.473227949,-318183.6693428785,5209542.115141896,-5752.623108523119,618.4044424548213,4948.920992261336,49.453934171962175,153.35327958945203,13228376.90237326,28983457.83540349,58029649.37780429,19832.680186097732,-0.0,-26153.67558634281,-26153.67558634281
60068.945625,4290562.74176797,-299459.350910289,5355098.879105202,-5913.751424607388,629.7685832324025,4753.968946572297,51.35851083308601,153.31038869897662,13227224.403321557,28984642.56272308,58033485.07107511,22489.595919836047,-0.0,-23502.70963510871,-23502.70963510871
60068.945972222224,4110814.7174754394,-280404.5046563647,5494727.677050491,-6068.347023935342,640.4377166065744,4553.75963339062,53.26318911529442,153.27466592419069,13226082.213819442,28985861.43522752,58037318.6043082,25108.170632982557,-0.0,-20888.04890645668,-20888.04890645668
60068.94631944445,3926528.9486082625,-261040.1575878784,5628274.096930688,-6216.240024280126,650.4000258787496,4348.514410308892,55.167959472099746,153.2473144264574,13224954.238810824,28987118.904894676,58041142.89095885,27676.796769238837,-0.0,-18321.23192296177,-18321.23192296177
60068.94666666666,3737908.968603588,-241387.6820453978,5755590.448515573,-6357.268041857604,659.6444679779803,4138.460009363646,57.072809836409604,153.22981382071782,13223844.328702137,28988419.514630064,58044950.86276897,30184.07426721392,-0.0,-15813.869848232716,-15813.869848232716
60068.94701388889,3545163.065228348,-221468.77039150265,5876535.921910235,-6491.276365376284,668.1608340385342,3923.8282405242735,58.97772490734532,153.224005178106,13222756.261020064,28989767.906485815,58048735.508359306,32618.861526327277,-0.0,-13377.616113647819,-13377.616113647819
60068.94736111111,3348504.055885774,-201305.40687878896,5990976.733059695,-6618.118003319347,675.9397677142783,3704.8557125983357,60.88268504814874,153.23220942423453,13221693.723843087,28991168.163304906,58052489.898879066,34970.3252407974,-0.0,-11023.482412979007,-11023.482412979007
60068.94770833333,3148149.047139911,-180919.84391668928,6098786.268289024,-6737.653779195142,682.972758521847,3481.783691345706,62.787664856980356,153.25739532339367,13220660.299127843,28992623.95525323,58056207.21656963,37227.98916056698,-0.0,-8761.956670735031,-8761.956670735031
60068.94805555556,2944319.2011574786,-160334.5774477059,6199845.215827944,-6849.752591243311,689.2521034527915,3254.8578436631105,64.69263097031445,153.3034232803177,13219659.447788088,28994139.30290691,58059880.77171131,39381.78125931138,-0.0,-6603.749182738364,-6603.749182738364
60068.94840277778,2737239.492394955,-139572.3231771686,6294041.69635736,-6954.291567185568,694.770886646195,3024.3278435318425,66.59753888644106,153.375408032798,13218694.498151843,28995718.345760707,58063503.99429747,41422.079263212545,-0.0,-4559.569450378418,-4559.569450378418
60068.94875,2527138.454594064,-118655.9915708669,6381271.377577567,-7051.156086679921,699.5229910000744,2790.447077467364,68.50232810894363,153.48027388472892,13217768.625784867,28997364.732903574,58067070.50276078,43339.75446332639,-0.0,-2639.448129929602,-2639.448129929602
60068.94909722222,2314247.937655377,-97608.66400942008,6461437.580754318,-7140.239854892227,703.503116548523,2553.4724309838534,70.40691434415484,153.62763314703753,13216884.839496989,28999081.63808972,58070574.125276305,45126.21325761425,-0.0,-852.7308005541563,-852.7308005541563
60068.94944444444,2098802.85246145,-76453.56988484389,6534451.384292025,-7221.44500654643,706.7068001533044,2313.6640064270587,72.31117678604168,153.83123059936324,13216045.968845516,29000871.8092967,58074008.91335441,46773.43647954542,-0.0,791.8860705718398,791.8860705718398
60068.949791666666,1881040.920032206,-55214.05744565872,6600231.712296969,-7294.682138997074,709.1304258966866,2071.2848284478264,74.21493611776204,154.1114303060669,13215254.648434378,29002737.15524674,58077369.188378185,48274.01626091977,-0.0,2286.8151443079114,2286.8151443079114
60068.95013888889,1661202.4162834617,-33913.57320134668,6658705.423150634,-7359.870322147619,710.7712314918884,1826.6006372238996,76.11791451624669,154.49973978905908,13214513.30967199,29004678.395126276,58080649.53112452,49621.19014580475,-0.0,3625.9180111028254,3625.9180111028254
60068.95048611111,1439529.9171796325,-12575.63133078022,6709807.383081904,-7416.937200868902,711.6273082258292,1579.87975699008,78.01965760637725,155.04762256802613,13213824.167098032,29006695.456996404,58083844.82392224,50808.87248699646,-0.0,4804.1489386968315,4804.1489386968315
60068.950833333336,1216268.0354213365,8776.207529760548,6753480.547758503,-7465.819253322001,711.6975985201449,1331.3928506186205,79.91936851033671,155.84521040452557,13213189.219587173,29008788.758845598,58086950.17384287,51831.68261353326,-0.0,5816.1970101334155,5816.1970101334155
60068.95118055555,991663.1577456992,30118.3642490824,6789676.018876882,-7506.46193003891,710.9818961688278,1081.4124016308087,81.81551181487235,157.06579726607802,13212610.237149242,29010959.373102106,58089960.965345755,52684.97015871213,-0.0,6656.3742565102875,6656.3742565102875
60068.951527777775,765963.1735387073,51427.26726032008,6818353.094771659,-7538.819466613918,709.4808295095053,830.2123313756626,83.70470716075747,159.08943039274584,13212088.749965861,29013207.25640333,58092872.90178635,53364.83715518113,-0.0,7320.427395880222,7320.427395880222
