,N,Bias,MAE,RMSE,RMS%,r,MAPE(%),logRMSE
JB08,20.0,-1.0097419586828952e-29,7.478434801736124e-14,9.024210033305988e-14,36.58040217496905,0.5647339719694306,28.010920903029767,0.14107123707611077
MSIS,20.0,1.0097419586828952e-29,5.1413321500600623e-14,6.554072990520766e-14,26.58832043791358,0.8329066076288497,19.20861839097463,0.10265173575345293
POD,20.0,-7.573064690121713e-30,6.147684984136735e-14,1.0142656729409113e-13,58.504974184762744,0.565940565892189,27.435635685232327,0.15845153256549
EDR,,,,,,,,
TLE,20.0,1.0097419586828952e-29,2.511427733202544e-13,2.7240176000155593e-13,103.06762826136564,-0.4072687276850794,88.84377914504118,0.40426793153170226
