,N,Bias,MAE,RMSE,RMS%,r,MAPE(%),logRMSE
JB08,60.0,8.41451632235746e-31,7.216478624638571e-14,8.957214033064237e-14,26.05756527070457,0.8351999323675428,22.13835573334957,0.12226489414672535
MSIS,60.0,-2.524354896707238e-30,6.416959140918042e-14,7.856010844333763e-14,24.30837588566067,0.9062772441847559,20.222122054871186,0.09772123887842396
POD,60.0,3.365806528942984e-30,3.614305474405236e-14,6.335977763988357e-14,34.56999333724052,0.9001791632133386,13.910645186457685,0.09655111983994288
EDR,,,,,,,,
TLE,60.0,-8.414516322357459e-30,1.5542108884016237e-13,2.2996560792856016e-13,89.43977543490085,-0.07635206005811701,51.88857623139109,0.2376446706353704
