,N,Bias,MAE,RMSE,RMS%,r,MAPE(%),logRMSE
JB08,17.0,4.8259725966461895e-30,4.570403270017741e-15,6.804074792507796e-15,11.620060281335538,0.09475407323196217,7.709912924383623,0.04814163947168183
MSIS,17.0,2.969829290243809e-30,4.3657936039954184e-15,6.188880459683552e-15,10.025908647502673,0.3103061049703605,7.137901775384066,0.04205359823179622
POD,16.0,-3.944304526105059e-30,7.791435270043504e-15,1.1052561069209783e-14,18.483851784199327,0.5360466796945844,12.976370625327464,0.09038803349349187
EDR,17.0,1.4849146451219046e-30,4.8839673197176514e-14,6.39908528426288e-14,106.60798237416147,0.1754382303274318,80.93637950664892,0.2558199440434922
TLE,17.0,-2.969829290243809e-30,1.7159385392591025e-15,2.277598384244093e-15,3.7016886558822413,0.194546003520493,2.8274865716888207,0.01639746846793257
