,N,Bias,MAE,RMSE,RMS%,r,MAPE(%),logRMSE
JB08,31.0,8.143080311958831e-30,7.729190822439929e-14,9.788340507202065e-14,16.359560465813537,0.7378032943700221,13.625079040216798,0.0759709569176859
MSIS,31.0,3.7458169435010625e-29,3.0258932547395964e-14,4.813122329963269e-14,7.932605909421361,0.922278207276703,5.376401305599905,0.03452182380370535
POD,31.0,3.2572321247835325e-30,3.565316962719761e-14,5.016296978378552e-14,9.603603435277419,0.8983705871905922,6.761594174673393,0.03873202945599322
EDR,31.0,3.582955337261886e-29,6.400910512991137e-14,7.675062917794461e-14,15.392333368847948,0.9622431132429748,12.403851093837648,0.07522145040686067
TLE,31.0,3.2572321247835325e-30,5.717286695595297e-14,7.204542307268146e-14,13.503478924806856,0.7848326368617756,10.801044214398788,0.05615067562168463
