,N,Bias,MAE,RMSE,RMS%,r,MAPE(%),logRMSE
JB08,62.0,2.9315089123051796e-29,1.7016740330143992e-13,2.110956692049231e-13,16.054599859758216,0.8037992649657457,13.33497730868635,0.07009391129445319
MSIS,62.0,-6.514464249567065e-30,1.1889705520215527e-13,1.4668990261716394e-13,10.059227191286496,0.9686876312950995,8.860243975293876,0.043781394029821584
POD,61.0,-6.621258745461608e-30,5.862545599983635e-14,7.693956567143545e-14,5.030996844708708,0.9884952519440056,4.283691371855211,0.02185600826034875
EDR,62.0,8.143080311958831e-29,2.092413315551855e-13,2.5605070604990606e-13,18.61280690025823,0.9942530241952889,16.018877780803724,0.08698480672765398
TLE,62.0,-1.2703205286655777e-28,1.3330655498967583e-13,1.7319309945391922e-13,11.54868707366137,0.9341347971914239,9.877201152017948,0.05113953094404939
