,N,Bias,MAE,RMSE,RMS%,r,MAPE(%),logRMSE
JB08,36.0,-8.414516322357459e-30,6.626763968492981e-14,8.655958479883358e-14,13.545443162220225,0.4889986395509382,10.953599100545702,0.06344323772669633
MSIS,36.0,-2.804838774119153e-29,3.0911185228690946e-14,3.6441343766885555e-14,6.6403704395092955,0.8634910209050374,5.4766840292888395,0.02790453370594291
POD,35.0,-1.4424885124041358e-29,2.563723053411166e-14,3.7758410867073426e-14,6.0466687669028,0.9215322293265386,4.2960692936763625,0.025339847322847033
EDR,36.0,-1.4024193870595766e-29,8.478772230545117e-14,1.0424377315730705e-13,18.33475234215545,0.8581283552184871,14.868441655669068,0.08644839081011706
TLE,36.0,3.9267742837668144e-29,5.049009132850503e-14,5.797447597989401e-14,9.754284934656605,0.6739742605970985,8.636743388613127,0.04233842505873063
