,N,Bias,MAE,RMSE,RMS%,r,MAPE(%),logRMSE
JB08,43.0,2.1134134018944317e-29,1.2639290225345086e-13,1.814075660509582e-13,27.95799427418469,0.7507112667832057,21.2635270659733,0.11526599465546591
MSIS,43.0,2.348237113216035e-30,3.3558331977751694e-14,4.6123666546585704e-14,8.00253469369261,0.9318452005585237,6.039762924891836,0.03420496042064222
POD,43.0,2.1134134018944317e-29,3.2446225902931525e-14,4.4778436313604676e-14,8.414202588965646,0.9263842847062035,5.9862507098106175,0.03454502724738757
EDR,43.0,2.1134134018944317e-29,6.681316992435777e-14,8.029756525893327e-14,15.01943749330593,0.9231145199057547,12.341316533654428,0.07071206639212557
TLE,43.0,-5.870592783040088e-30,6.476551629768146e-14,7.906409129452135e-14,14.147663118032991,0.713392159937315,11.696319946788181,0.05927426022854502
