,N,Bias,MAE,RMSE,RMS%,r,MAPE(%),logRMSE
JB08,46.0,-7.682819250848115e-30,3.1562221273123396e-14,3.520198500790741e-14,12.483090176950308,0.9662974600968574,10.875946170649762,0.05177664245224475
MSIS,46.0,1.0975456072640164e-30,3.472282893360034e-14,4.0379285619323523e-14,13.496400548191659,0.9817862430292021,11.735844511565297,0.05643720180712742
POD,46.0,-6.0365008399520905e-30,2.0891842328607185e-14,2.6653108163427665e-14,8.45910189012164,0.9859083498375553,6.68490410507911,0.03903678787510331
EDR,46.0,-7.902328372300919e-29,8.719805593992994e-14,9.953267512204487e-14,37.255828000682705,0.9600039230913364,30.314924634195545,0.2246116919663309
TLE,46.0,2.1950912145280328e-30,4.4092556135706945e-14,5.010336203533257e-14,16.80293647961691,0.9569401246596726,14.751536377381571,0.06915180785394347
