,N,Bias,MAE,RMSE,RMS%,r,MAPE(%),logRMSE
JB08,46.0,9.329137661744139e-30,2.5153522176642566e-14,3.048410493782064e-14,13.378548028487419,0.8524169705588909,10.799640149961308,0.05740635050811924
MSIS,46.0,-1.0975456072640164e-30,1.443442815097988e-14,1.8982040856122556e-14,7.29096724044989,0.9295868626625489,5.869009983654553,0.031474198138582425
POD,45.0,4.487742038590645e-30,1.737332865359583e-14,3.072884024245278e-14,11.519006507820706,0.852577202785968,6.868888623902744,0.06364613618582306
EDR,46.0,-4.6096915505088687e-29,8.051944937000276e-14,1.036165386697956e-13,44.51071479508023,0.746529726560565,34.308144632262085,0.20353487263874506
TLE,46.0,-8.231592054480123e-30,2.914852831055008e-14,3.7634976410921034e-14,15.467258502771063,0.8963135807251327,12.07325934981538,0.0651842712987647
