,N,Bias,MAE,RMSE,RMS%,r,MAPE(%),logRMSE
JB08,46.0,-2.1950912145280328e-29,1.5812311457846342e-13,2.0160827053244378e-13,13.656686172262148,0.9476663865403909,11.259562399391507,0.061248747607059
MSIS,46.0,1.7560729716224262e-29,2.120869776494194e-13,2.7127753719279174e-13,18.318356273895432,0.9095921111736149,15.507922250516138,0.07840937529425102
POD,45.0,-3.1414194270134515e-29,1.0321862062379838e-13,1.560720168278849e-13,9.80797661894122,0.9731011057181822,7.229301830918662,0.044966213047243506
EDR,46.0,-1.141447431554577e-28,2.7039983393953227e-13,3.413400018749052e-13,26.550042024949093,0.992176539613529,20.880467727809577,0.14401539491335322
TLE,46.0,-1.4487602015885016e-28,2.077104752166104e-13,2.342722933854209e-13,18.229294365697104,0.908967246807612,16.261493308744008,0.08277672076516636
