UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,JB08,DTM2000,NRLMSISE00
2024-05-09 22:21:42,4785118.368039816,-3671150.701297732,3320101.00450324,2193.6468305600315,-3118.766800035707,-6587.180547383876,,,,7.139183821891493e-08,-7.692668724246232e-09,8.775372606351084e-08,-3.782092733869395e-13,3.0523140209802705e-13,3.5967910441901156e-13,3.635242421129974e-13
2024-05-09 22:22:42,4906125.809593804,-3850072.111384011,2917844.1244321726,1838.4518008952768,-2843.0912020742844,-6816.458679478496,,,,1.2953818817607043e-07,-8.621003555475681e-08,6.659923768026488e-08,2.6008401818253056e-14,2.9897237794973464e-13,3.4564739359501906e-13,3.5063598292994547e-13
2024-05-09 22:23:42,5005570.498634886,-4012071.3348533106,2502726.609751242,1475.1538149665425,-2554.9020058651004,-7015.708913663475,,,,1.774067177606753e-07,-1.3215901883967263e-07,1.666267626099227e-07,-5.432692896993964e-13,2.928970546656554e-13,3.3395799077165116e-13,3.3883802672206656e-13
2024-05-09 22:24:42,5083014.395030851,-4156435.570689232,2076577.4734444486,1105.3631719923385,-2255.4754322442914,-7184.042835881913,,,,2.696228431631198e-07,-1.749787967852967e-07,1.9484414526260707e-08,5.211628239054074e-13,2.869484433421217e-13,3.24642754624946e-13,3.280110745059765e-13
2024-05-09 22:25:42,5138117.016210271,-4282530.165681378,1641274.8842944663,730.720153341871,-1946.139362901918,-7320.71075594336,,,,1.9152185437576463e-07,-2.0001822864657015e-07,5.227646049377199e-08,1.3616065044035263e-13,2.810765328277984e-13,3.1714559654939997e-13,3.180496705687518e-13
2024-05-09 22:26:42,5170637.022485203,-4389801.560224628,1198737.7432187593,352.8880784762028,-1628.2679470343915,-7425.105515446233,,,,2.187816745546911e-07,-1.3162638712316266e-07,-3.544296456325924e-08,5.238838730510545e-13,2.752384869882384e-13,3.1052820397648825e-13,3.0887080458076546e-13
2024-05-09 22:27:42,5180433.3748258585,-4477779.865392199,750916.9996004212,-26.45431606463662,-1303.2749212177755,-7496.7664074478735,,,,4.0360040287623633e-07,-1.4602520614914738e-07,-9.573152304209742e-08,8.477183886181006e-13,2.693985237893499e-13,3.0381376067636583e-13,3.0041233240979735e-13
2024-05-09 22:28:42,5167466.009037074,-4546081.0242958665,299786.78074456484,-405.62150867235493,-972.6063944395241,-7535.381903765747,,,,2.3725283782027873e-07,-1.4334567843832247e-07,-2.1605741834518355e-07,1.5836443627858632e-12,2.6352754591719264e-13,2.9630617694304624e-13,2.9263188928967333e-13
2024-05-09 22:29:42,5131796.001245683,-4594408.546775402,-152664.58047937512,-782.9285688683126,-637.7342158695028,-7540.79007401281,,,,2.6202270575481634e-07,-1.651056962259645e-07,-1.6047320677836652e-07,1.051186353214292e-12,2.576024421555179e-13,2.877546216686272e-13,2.8550793665900883e-13
2024-05-09 22:30:42,5073585.338602493,-4622554.872132734,-604443.5910841861,-1156.6983565390121,-300.149476414487,-7512.981443351312,,,,3.811977355994145e-07,-2.609360860716947e-07,-4.007380950410422e-07,2.5103741866344083e-12,2.5160433546105153e-13,2.783279657344246e-13,2.790368227903958e-13
2024-05-09 22:31:42,4993096.150220671,-4630402.2675729655,-1053560.7831412647,-1525.2713735600926,38.64590338919721,-7452.099394153007,,,,3.500898584363199e-07,2.428082890304495e-08,6.775247924917238e-07,-5.303125020588174e-12,2.455161792531477e-13,2.684595487367919e-13,2.732196327001538e-13
2024-05-09 22:32:42,4890689.393723038,-4617923.260600441,-1498039.8937029783,-1887.0148184768416,377.14683028269394,-7358.4409310117,,,,-3.652171143286864e-07,5.179835325108684e-07,-3.692111443243107e-07,3.4259629352719124e-12,2.39318691046917e-13,2.586594037511951e-13,2.6803633123796866e-13
2024-05-09 22:33:42,4766822.891630183,-4585180.497159024,-1935926.9472044685,-2240.3335313535936,713.8555384615092,-7232.44992707561,,,,2.2528296739210418e-07,3.137029924715762e-08,-3.667731687251319e-07,2.061689004688158e-12,2.329817571066684e-13,2.493695805480638e-13,2.634144279630811e-13
2024-05-09 22:34:42,4622048.9805895835,-4532326.188466208,-2365298.877966615,-2583.6733633075573,1047.2852247517083,-7074.713189313089,,,,2.0236177711296932e-07,7.723396766579071e-08,-2.3038337371161788e-07,1.1288951222602384e-12,2.264471118938351e-13,2.408899728306184e-13,2.592063295017624e-13
2024-05-09 22:35:42,4457011.80720415,-4459601.240771944,-2784272.060876152,-2915.529022858517,1375.967195795436,-6885.957557046148,,,,1.5072613734901097e-07,1.3994852476884034e-07,-2.5702069805788597e-07,1.448717992823885e-12,2.1984084297516661e-13,2.333660363526071e-13,2.551928849285348e-13
2024-05-09 22:36:42,4272444.249775731,-4367333.9931758735,-3191010.5871963063,-3234.4491726473416,1698.4568034975089,-6667.0464913234855,,,,1.2978623242787535e-07,5.300390260032373e-08,-3.098504191001439e-07,1.6520907659561528e-12,2.1337461753123792e-13,2.2681573782834983e-13,2.5112426612176066e-13
2024-05-09 22:37:42,4069164.4602157213,-4255938.557398128,-3583734.382494804,-3539.0438777581758,2013.3410531032177,-6418.976731006396,,,,7.061392448548531e-08,1.4205767495667487e-07,-2.58473778380619e-07,1.6148107347093235e-12,2.0720543557752315e-13,2.2117381567753987e-13,2.4679149563378753e-13
2024-05-09 22:38:42,3848071.9862915534,-4125912.6877679927,-3960727.0095973983,-3827.9909350882435,2319.2457404019906,-6142.871656667373,,,,5.899941157849753e-08,6.634494376100974e-08,-3.9853720146254545e-07,2.264496924872299e-12,2.0145999141117353e-13,2.1633983874355152e-13,2.421026119651283e-13
2024-05-09 22:39:42,3610143.5277057793,-3977835.2907971838,-4320343.053688994,-4100.041537088278,2614.8408841527494,-5839.973958198189,,,,4.524603269828731e-08,1.769947326479837e-07,-2.361517053017792e-07,1.5799629145069002e-12,1.9624231790700625e-13,2.1222285639340223e-13,2.3712663693252365e-13
2024-05-09 22:40:42,3356428.4272904084,-3812363.6351976097,-4661015.074799042,-4354.023621837948,2898.845129525577,-5511.639347340291,,,,-2.6218142323841676e-08,1.9846999510519936e-07,-2.4458100789104265e-07,1.9448970307376186e-12,1.9163796295829862e-13,2.08777757111435e-13,2.3207849254584727e-13
2024-05-09 22:41:42,3088043.9248270066,-3630230.282857583,-4981260.2407357115,-4588.846966232896,3170.0309664843467,-5159.331292136385,,,,-8.658316863474624e-08,2.455436360904173e-07,-2.1039371933539996e-07,2.1599547765860464e-12,1.8771687973070537e-13,2.0602557177574456e-13,2.2724559864281414e-13
2024-05-09 22:42:42,2806170.102643586,-3432239.696985778,-5279686.577303021,-4803.507724577614,3427.230040691962,-4784.61373398682,,,,-9.614994711526492e-08,2.505849820977346e-07,-1.507841309589253e-07,1.9519697972237933e-12,1.845359526153409e-13,2.0404646986884433e-13,2.2288610310890115e-13
2024-05-09 22:43:42,2512044.579537884,-3219264.5461400617,-5554998.784933658,-4997.092550787201,3669.3379675727165,-4389.143807070953,,,,-1.4799623171413145e-07,2.8317476541417363e-07,-8.951625307673794e-08,2.0770105617779636e-12,1.8214118479462505e-13,2.029369975444165e-13,2.1913993007992657e-13
2024-05-09 22:44:42,2206956.9651816506,-2992241.7284990367,-5806003.576764929,-5168.782157382876,3895.318894009382,-3974.6635313846696,,,,-1.7421097586733936e-07,3.1215919271687653e-07,-4.5803370873898075e-08,2.199697806255168e-12,1.8056946812444608e-13,2.0273940011869914e-13,2.1598457178483206e-13
2024-05-09 22:45:42,1892243.1421808677,-2752168.134784644,-6031614.529315809,-5317.853993450701,4104.20957620934,-3542.9915238388203,,,,-1.0020946739075498e-07,1.8443675653401215e-07,-6.202635116636657e-08,1.4453873949729707e-12,1.798495931173459e-13,2.0337210690546124e-13,2.1324718127915992e-13
2024-05-09 22:46:42,1569279.3806612622,-2500096.1704018163,-6230856.403775561,-5443.684398087865,4295.1232843952375,-3096.013653185299,,,,-6.951246023234603e-08,2.3738099397263568e-07,1.9184961264073763e-07,7.705061711730698e-13,1.800021805047112e-13,2.0459815234206974e-13,2.1066592391032992e-13
2024-05-09 22:47:42,1239476.3979006233,-2237129.1108988444,-6402868.904166791,-5545.748957409813,4467.251167737536,-2635.67435739434,,,,-1.9637946269135398e-07,3.1358437269091155e-07,2.432653660733308e-07,1.7719949619093432e-12,1.8103789015509656e-13,2.0605195978384564e-13,2.0798107084628986e-13
2024-05-09 22:48:42,904273.3692244259,-1964416.383146884,-6546910.014394655,-5623.623724527778,4619.864173910596,-2163.970984124551,,,,-1.4613960197529252e-07,2.170262214384877e-07,2.047740039756718e-07,1.3244028573739827e-12,1.8295300657893898e-13,2.0731620671618315e-13,2.0502945783418242e-13
2024-05-09 22:49:42,565131.8426671473,-1683148.67174656,-6662358.984074007,-5676.987384436997,4752.316954219347,-1682.9468516291595,,,,3.664347081322461e-08,1.097587727372229e-07,2.0278889323321891e-07,-2.6398124591785187e-14,1.857239693179962e-13,2.080200216577041e-13,2.0181537680525736e-13
2024-05-09 22:50:42,223529.50955342455,-1394552.7816160482,-6748718.770023422,-5705.623143092604,4864.050893901487,-1194.6802061715644,,,,-2.1962204654890627e-07,3.0362901570768486e-07,3.9603698631651696e-07,2.164741432192077e-12,1.89316193758212e-13,2.0792663848438742e-13,1.985384364455295e-13
2024-05-09 22:51:42,-119046.02947868465,-1099886.450850036,-6805617.833748276,-5709.417143957571,4954.593494705498,-701.2755784106611,,,,-3.492216349432198e-09,1.402736977684782e-07,1.9813576201954675e-07,5.525955093792788e-13,1.9377548473597523e-13,2.0698832084395125e-13,1.955718714694618e-13
2024-05-09 22:52:42,-461103.4486946851,-800433.1230512531,-6832811.593041226,-5688.359655756662,5023.561139530484,-204.85894407828442,,,,7.694394121848802e-09,1.3159401013318472e-07,4.635653176876531e-07,5.011921890429123e-13,2.0024881248835338e-13,2.053611149545603e-13,1.93382613427999e-13
2024-05-09 22:53:42,-801153.9794789602,-497496.5081603378,-6830183.401357521,-5642.545204718963,5070.6621049036785,292.43291746253806,,,,-7.625127329546899e-08,2.0352560980985146e-07,2.5805107739529376e-07,1.4751722195571113e-12,1.988964610595417e-13,2.0338646372408936e-13,1.924080308703919e-13
2024-05-09 22:54:42,-1137717.6145203544,-192395.07269518526,-6797744.900374711,-5572.171133311848,5095.695916721881,788.4620295705204,,,,1.1679644873474615e-07,-1.2279074618204433e-08,3.3910941610315604e-07,-4.2785334186020774e-13,2.0116124629592827e-13,2.0155281993619164e-13,1.9313561393658585e-13
2024-05-09 22:55:42,-1469329.2380594935,113543.40328369848,-6735635.874722858,-5477.536490771765,5098.552889116227,1281.0957871464593,,,,1.0295106078750393e-07,5.9464128121522464e-08,2.889760164492827e-07,1.0491508622133089e-13,2.1016458199431958e-13,2.004492557696484e-13,1.961117520098384e-13
