,Epoch,x,y,z,xv,yv,zv,accx,accy,accz,JB08 Density,DTM2000 Density,NRLMSISE00 Density,Computed Density
19,2003-10-27 22:04:47,3173427.1504471838,3864983.0863875886,-4568994.438875136,2889.4192491640947,4299.755577715299,5650.8024366473155,-7.38043656056675e-06,-9.69022931496255e-06,1.2265911909281613e-05,3.5176607884417906e-12,2.2224786285676034e-12,2.2283925793548662e-12,6.6019824654124475e-12
20,2003-10-27 22:05:02,3216309.313874344,3928919.679495765,-4483576.557918214,2828.065177123183,4224.918751549648,5737.974204042775,-7.649701110779006e-06,-9.602981107192932e-06,1.3251814086956415e-05,3.522295934139249e-12,2.2226148774400785e-12,2.2451283306534107e-12,1.4536954136398451e-11
21,2003-10-27 22:05:17,3258264.9855579273,3991724.506612889,-4396863.435703047,2765.8870230836737,4148.85344649042,5823.501244326667,-8.495909462169493e-06,-1.0475121867692394e-05,1.3676247427873989e-05,3.5273875207594095e-12,2.22389394694877e-12,2.2632856013540135e-12,1.3313366470698924e-11
22,2003-10-27 22:05:32,3299281.8918713685,4053379.247687361,-4308879.870608274,2702.902419447274,4071.581169824134,5907.358263229114,-9.195237469228346e-06,-1.1397085060593781e-05,1.2791497924879991e-05,3.5329253117805804e-12,2.2264850247105673e-12,2.2828780249953747e-12,4.451472296103932e-12
23,2003-10-27 22:05:47,3339348.1154993456,4113866.017299204,-4219651.160567798,2639.1293394835993,3993.1239087573504,5989.520590452831,-9.288807626184337e-06,-1.1708657437381476e-05,1.1183949916393487e-05,3.538887145944354e-12,2.2305434763983778e-12,2.303904816910306e-12,-4.622421854430251e-12
24,2003-10-27 22:06:02,3378451.9197211205,4173167.1510255174,-4129202.848539047,2574.5859217478724,3913.503886044949,6069.963872884245,-8.603736632473158e-06,-1.1136715502679806e-05,9.81633493513101e-06,3.54526214367997e-12,2.2362234738134404e-12,2.326366322301846e-12,-6.5891118959894256e-12
25,2003-10-27 22:06:17,3416581.933883036,4231265.433800098,-4037560.9580183052,2509.2906250698293,3832.743786715086,6148.664402172054,-7.853851513139887e-06,-1.0073248381203825e-05,9.5744191979108e-06,3.5520273872100428e-12,2.2436584807362884e-12,2.3502468863072417e-12,4.980748821457291e-13
26,2003-10-27 22:06:32,3453726.972525884,4288143.8785663145,-3944751.747916625,2443.2620628343793,3750.8665247791528,6225.598794453608,-7.646522666604483e-06,-9.405973549370117e-06,1.0678810630437852e-05,3.559171338755787e-12,2.2529746742550925e-12,2.3755307405068844e-12,1.3132265603807847e-11
27,2003-10-27 22:06:47,3489876.2249011686,4343785.960949149,-3850801.9382652715,2376.519146372609,3667.89546790822,6300.7443190586,-8.374986930625994e-06,-9.668924596084594e-06,1.2233964745256287e-05,3.5666703674422628e-12,2.2642717277142048e-12,2.402184475429134e-12,2.2831079941922838e-11
28,2003-10-27 22:07:02,3525019.070208979,4398175.391361968,-3755738.474833622,2309.080934433625,3583.8542111949446,6374.078575908213,-9.723380418158456e-06,-1.09928999227904e-05,1.27871421078396e-05,3.574512314097917e-12,2.277636926515916e-12,2.430173308314014e-12,2.0641687471202344e-11
29,2003-10-27 22:07:17,3559145.272733029,4451296.356690052,-3659588.7452232847,2240.966777492442,3498.766805758658,6445.579834097202,-1.072101224419697e-05,-1.2450653005480206e-05,1.214474333899318e-05,3.58267274274984e-12,2.293126014840761e-12,2.4594431000998668e-12,1.1165996813802807e-11
30,2003-10-27 22:07:32,3592244.7909849775,4503133.285470505,-3562380.352475071,2172.196169610377,3412.657526700695,6515.226708623305,-1.0772368563394252e-05,-1.3067574330172249e-05,1.0366654171534151e-05,3.5911387960179926e-12,2.3107780440842495e-12,2.4899372147127144e-12,-5.995857172695262e-13
31,2003-10-27 22:07:47,3624307.97530464,4553671.096375795,-3464141.3195543746,2102.788887468048,3325.5510890237138,6582.998528922528,-1.0201780714425013e-05,-1.3086579722987324e-05,8.78324719888468e-06,3.599885314713504e-12,2.330596273211884e-12,2.521578247404241e-12,-7.663824829804035e-12
32,2003-10-27 22:08:02,3655325.3742776564,4602894.95623814,-3364899.874248096,2032.7648405641878,3237.472415653914,6648.8749898349015,-9.016886092005905e-06,-1.2364100084205631e-05,7.832381511363451e-06,3.608898837111727e-12,2.352563672675057e-12,2.55428550046721e-12,-6.735843990696052e-12
33,2003-10-27 22:08:17,3685287.9376448113,4650790.534393391,-3264684.6437045764,1962.1441870506856,3148.4468213102996,6712.836533378261,-7.980598262236072e-06,-1.1737994560334641e-05,7.550117644861132e-06,3.6181534400431715e-12,2.3766237755586977e-12,2.587956395802959e-12,-2.142602851702285e-12
