Epoch,Computed Density,JB08 Density,DTM2000 Density,NRLMSISE00 Density,x,y,z,xv,yv,zv,accx,accy,accz
2001-12-31 22:00:02,1.0917640827253715e-10,1.108460645863181e-11,9.218618439594122e-12,9.554881317595866e-12,3938383.0110451384,-5027920.1943351505,-2292126.220108369,1886.1416386836695,-1775.0670816175113,7219.9752396552485,-6.1371752266836666e-06,8.453953718401408e-06,1.8090351872501742e-05
2001-12-31 22:00:17,1.530711983725226e-10,1.1176791796222187e-11,9.286227814094661e-12,9.625286576060226e-12,3966108.0141631197,-5053822.6371258125,-2183501.569047288,1810.4517356452295,-1678.528143272658,7262.954989161395,-5.015429896282342e-06,7.434501806180549e-06,2.3030237981114254e-05
2001-12-31 22:00:32,-9.076082312263272e-12,1.1267089919504727e-11,9.3441584498002e-12,9.69220178355658e-12,3992693.6724268883,-5078273.257478375,-2074247.8625639987,1734.2215583424781,-1581.4813342909538,7303.853382971757,-1.0971605699516829e-05,1.3337234269883425e-05,4.3832902307805455e-06
2001-12-31 22:00:47,-1.95822532340325e-11,1.135538708867306e-11,9.392214067734946e-12,9.755564844552204e-12,4018132.0703558605,-5101264.679054005,-1964396.4370993213,1657.4730466142678,-1483.954691198794,7342.657407083135,-1.1379165537839242e-05,1.3801067334284767e-05,2.8956736830565433e-06
2001-12-31 22:01:02,2.414303952654498e-11,1.1441619130220469e-11,9.43040467304386e-12,9.81536946295832e-12,4042415.432870965,-5122789.704430729,-1853978.707534652,1580.2282168969655,-1385.9763239344218,7379.35430983595,-9.844718681151221e-06,1.2332786448965294e-05,7.598158509480868e-06
2001-12-31 22:01:17,2.7500822628567198e-11,1.1525664872680008e-11,9.458863466788946e-12,9.871566994009599e-12,4065536.546499175,-5142841.851854009,-1743026.4025136963,1502.5093920169838,-1287.5746360834576,7413.93238894509,-9.954752902885389e-06,1.2402340357375863e-05,7.76139595748404e-06
2001-12-31 22:01:32,1.6059361143180075e-11,1.1607427040867401e-11,9.477920305542994e-12,9.924141463568169e-12,4087488.44293384,-5161414.951511119,-1631571.3788396548,1424.3390202102173,-1188.77815004033,7446.3804008628,-1.0585090064019198e-05,1.2914881566850056e-05,6.202844637481775e-06
2001-12-31 22:01:47,1.483390429550191e-11,1.1686789160421535e-11,9.48806217755271e-12,9.97307024594171e-12,4108264.572927771,-5178503.365689168,-1519645.6921914048,1345.7397449604352,-1089.6155697873137,7476.687887616246,-1.0821979409492144e-05,1.3049897233052832e-05,5.802339674509938e-06
2001-12-31 22:02:02,1.6423357589151364e-11,1.1763666905121995e-11,9.489967922462229e-12,1.0018371387570425e-11,4127858.6083383136,-5194101.736754051,-1407281.4972582245,1266.7343098119165,-990.1156905633051,7504.844805156117,-1.0868901537008924e-05,1.2949041443555132e-05,5.689331658453867e-06
2001-12-31 22:02:17,1.6222909265893504e-11,1.1837946671897542e-11,9.484440721547462e-12,1.0060047516797744e-11,4146264.686381487,-5208205.295286984,-1294511.1458953216,1187.3456633031208,-890.3074910458536,7530.841979552271,-1.104801366036412e-05,1.2981483867413601e-05,5.390580706254866e-06
