,Epoch,x,y,z,xv,yv,zv,accx,accy,accz,JB08 Density,Computed Density
0,2003-10-27 22:00:02,2200711.7291495414,2461631.6444135634,-5915726.087671287,3877.0398574358974,5462.436119832683,3718.6509462276463,-5.344289739639407e-07,1.1234720149744248e-06,2.1270541869178317e-05,3.536003439260893e-12,8.81538931628177e-11
1,2003-10-27 22:00:17,2258548.3791841413,2543210.616059332,-5859096.667765387,3834.3381076553455,5414.5100859131235,3831.7327908852753,1.6366602899609006e-06,4.414947660347224e-06,2.3670319806434748e-05,3.5292539985295823e-12,1.2813984277238241e-10
2,2003-10-27 22:00:32,2315736.232694066,2624059.020712165,-5800779.272408562,3790.5294621878966,5365.0224988932905,3943.7249546514,-8.069681085576264e-06,-8.937046415802286e-06,1.4736411627858104e-05,3.5232121494351567e-12,-2.1713623845203162e-11
3,2003-10-27 22:00:47,2372258.790404922,2704153.552335257,-5740790.527533386,3745.626123325814,5313.987080599649,4054.595202876895,-8.653858666107794e-06,-9.782797711910263e-06,1.3324300501160735e-05,3.5178627397998203e-12,-3.226510280177785e-11
4,2003-10-27 22:01:02,2428099.632329483,2783470.994405918,-5679147.261599123,3699.6404237229513,5261.417735520175,4164.3114213725075,-5.7846448462406386e-06,-6.045535330123641e-06,1.5245096330218644e-05,3.5132098051304634e-12,1.0834760240615256e-11
5,2003-10-27 22:01:17,2483242.6556291957,2861988.488457924,-5615867.113171783,3652.5852174794873,5207.329098788874,4272.841977788467,-5.086407162568918e-06,-5.506964309898166e-06,1.5474148896466033e-05,3.509234694432349e-12,1.9934641837047956e-11
6,2003-10-27 22:01:32,2537671.8988186996,2939683.336980129,-5550968.0680050105,3604.47358720325,5151.736125943788,4380.155448945865,-5.7327563589559816e-06,-6.848541936221864e-06,1.5301297412229076e-05,3.5059276583101138e-12,1.1675787841812376e-11
7,2003-10-27 22:01:47,2591371.6486767405,3016533.128225228,-5484468.690496208,3555.3190080863164,5094.65432349307,4486.220766509766,-6.0951311433576905e-06,-7.650866206798668e-06,1.595077530947009e-05,3.503270979418708e-12,1.149236576630283e-11
8,2003-10-27 22:02:02,2644326.3246388864,3092515.603535384,-5416387.846058234,3505.1351646665635,5036.099491752288,4591.007064022283,-6.62500212067485e-06,-8.440495288919436e-06,1.558650561950259e-05,3.501258501704928e-12,6.1051700768989845e-12
9,2003-10-27 22:02:17,2696520.6285038926,3167608.830846788,-5346745.025522003,3453.936186280807,4976.088055296579,4694.483927689766,-7.331162788393186e-06,-9.269695811831014e-06,1.4540214722025269e-05,3.4998719823987736e-12,-3.4494563473888885e-12
10,2003-10-27 22:02:32,2747939.405272173,3241791.044746681,-5275560.024901122,3401.7364139995448,4914.636738351926,4796.621187525658,-7.143061182990351e-06,-8.942464526207061e-06,1.29212393442657e-05,3.4991039710890466e-12,-6.70678704502207e-12
11,2003-10-27 22:02:47,2798567.790387588,3315040.819832472,-5202853.235521898,3348.550591029042,4851.762839488103,4897.389196107546,-6.629036648497788e-06,-8.220450216533948e-06,1.2071502884403174e-05,3.498935794595258e-12,-3.2007350947154463e-12
12,2003-10-27 22:03:02,2848391.0673541944,3387336.9047108777,-5128645.343161227,3294.3936509662303,4787.483930460488,4996.758569680259,-6.024287622974356e-06,-7.3418392467772264e-06,1.2731949257549502e-05,3.499359793233574e-12,9.064870368593588e-12
