Epoch,Computed Density,JB08 Density,DTM2000 Density,NRLMSISE00 Density,x,y,z,xv,yv,zv,accx,accy,accz
2018-12-31 21:59:57,7.255439756606827e-11,2.2906602128425404e-14,3.7771713952735885e-14,3.878234302463065e-14,-6382797.72928845,-830240.7366841327,-2464257.470478833,2527.4232601014105,1395.0068434081975,-7034.606147643532,2.7887987323893526e-06,1.9509448312415856e-06,-9.451918992375852e-06
2018-12-31 22:00:12,1.0827453438414072e-10,2.2916919796402164e-14,3.831849084912169e-14,3.934432196797579e-14,-6344013.299940694,-809202.8181794947,-2569433.0125238854,2643.6872923937062,1409.9813591505451,-6988.490652092598,5.357278075379668e-06,2.963252406340544e-06,-1.3657040965675549e-05
2018-12-31 22:00:27,-2.1933483585395903e-11,2.2933843881794254e-14,3.890938219995805e-14,3.99373803923624e-14,-6303490.528114786,-787943.2019142685,-2673902.499989428,2759.212762153965,1424.5678161829353,-6940.4606972578495,-1.2725349538555975e-06,-3.4991906006087703e-07,2.7427416138259275e-06
2018-12-31 22:00:42,-3.231031342668871e-11,2.2952642469619237e-14,3.954567466540162e-14,4.0559089442893264e-14,-6261240.76754966,-766467.7431722926,-2777637.332357345,2873.9680091913146,1438.7622960185809,-6890.530074325993,-1.9500979737685498e-06,-6.519543088723267e-07,3.9766229518178875e-06
2018-12-31 22:00:57,3.3261096665438417e-12,2.2973543071619875e-14,4.02287502921827e-14,4.120699496778512e-14,-6217275.571151278,-744782.321419018,-2880609.0000129775,2987.921476527316,1452.5609272063489,-6838.712795912754,-2.7844917749320075e-07,2.3656570824481804e-07,-5.827190383556058e-07
2018-12-31 22:01:12,6.9332212105294305e-12,2.299661905581268e-14,4.095958200394028e-14,4.1878132807714835e-14,-6171607.288493708,-722892.9128463501,-2982789.3569554915,3101.042020033223,1465.9600264377116,-6785.02376035001,-7.152198211457517e-08,3.532389132310243e-07,-1.0300069108737375e-06
2018-12-31 22:01:27,-2.413350165108607e-12,2.302200452634571e-14,4.173910482652167e-14,4.256948897433268e-14,-6124248.61095861,-700805.5340151804,-3084150.4210222843,3213.298680421648,1478.955992873864,-6729.4782445135115,-4.2520247944821676e-07,1.0835943931031267e-07,1.9715084587090814e-07
2018-12-31 22:01:42,-3.3960369208484285e-12,2.304978113676976e-14,4.2568009419944304e-14,4.327784859487245e-14,-6075212.800489897,-678526.2662358917,-3184664.501789854,3324.660824920944,1491.5453674122703,-6672.092153738409,-2.890752286432985e-07,1.2777172642142176e-07,4.1891033353280704e-07
2018-12-31 22:01:57,-1.2272130146760055e-12,2.30801097725369e-14,4.3446986093539144e-14,4.400012395175736e-14,-6024513.4161482025,-656061.2239250484,-3284304.065952794,3435.0980000644963,1503.724768543618,-6612.881721476787,-3.4248373470546767e-07,1.3145103905376487e-07,4.6594530012100677e-08
2018-12-31 22:02:12,-2.2344065253075367e-12,2.3113071444278978e-14,4.4376426253451135e-14,4.473311497923708e-14,-5972164.634898763,-633416.5891744494,-3383041.916938997,3544.5801430900924,1515.490983395214,-6551.863865189104,-4.487325178104129e-07,7.541674462707704e-08,1.3239395180164593e-07
2018-12-31 22:02:27,-1.3861258198539348e-12,2.3148821514522802e-14,4.535671733919547e-14,4.547388753735415e-14,-5918180.93544497,-610598.5761024648,-3480851.029922121,3653.0773912560044,1526.8408823731309,-6489.055828603098,-3.9547915431370484e-07,1.2700830642753402e-07,3.118138902635792e-08
2018-12-31 22:02:42,-1.3807221776668893e-13,2.318744332020327e-14,4.6387957517834684e-14,4.621954655565329e-14,-5862577.385538194,-587613.4592585135,-3577704.7303256053,3760.560291198056,1537.771500361884,-6424.475476507292,-3.882225456663946e-07,1.1957498602388483e-07,-1.7639433114169378e-07
2018-12-31 22:02:57,-2.787594697920939e-13,2.3229095975289962e-14,4.747024937403996e-14,4.6967595336272274e-14,-5805369.345815783,-564467.5423467875,-3673576.5234664697,3866.9995928102417,1548.2799518376148,-6358.140984028787,-2.572351727181399e-07,1.5154594634747554e-07,-7.373511579089609e-08
2018-12-31 22:03:12,-4.171885339324896e-13,2.3273864434504893e-14,4.860339303455331e-14,4.7715674286483377e-14,-5746572.759410996,-541167.1852595191,-3768440.2839863016,3972.3664496417027,1558.3635051645265,-6290.071146588302,1.6815515202495135e-08,1.496506477627335e-07,1.1733955496140425e-07
2018-12-31 22:03:27,-1.3246762243460598e-12,2.3321909094209047e-14,4.978719221339276e-14,4.846190306618345e-14,-5686203.857127991,-517718.7748825951,-3862270.076141396,4076.632227558958,1568.0195055736508,-6220.285069599822,-2.021858414025246e-07,1.161337161992293e-07,1.200631682962694e-07
2018-12-31 22:03:42,-2.9653032874876143e-12,2.3373316427257093e-14,5.10211311134238e-14,4.9204582124246914e-14,-5624279.4379586205,-494128.7498884769,-3955040.3533223188,4179.768738042883,1577.2454518752752,-6148.802478156786,-4.694833366514217e-07,7.669172430446736e-08,2.060763542033328e-07
