UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,Unnamed: 14,latitude,longitude,altitude,AccelerometerDensity,NRLMSISE-00
2023-04-22 17:00:27,-6482734.923469609,368844.4645259322,-2232893.3918055496,2466.0955338827016,-283.7485828884478,-7205.919946333195,,,,3.150415787800398e-06,-3.485457731877695e-07,-1.0429637883557774e-05,6.996126248433391e-11,,-19.216016905604253,71.43002936825705,490582.3396724746,5.9877928e-13,6.9824853e-13
2023-04-22 17:00:42,-6444846.487281036,364537.3112409869,-2340666.7737178816,2585.55047489537,-290.52365032689374,-7163.542514403308,,,,5.586709406202317e-06,-5.735617283897376e-07,-1.488160732643351e-05,1.0215414791192148e-10,,-20.174403523786065,71.3862688249977,490803.82170758874,5.9605263e-13,6.9509643e-13
2023-04-22 17:00:57,-6405171.747330116,360129.14402954787,-2447789.6172064194,2704.280324349946,-297.21773672565007,-7119.177042624444,,,,-1.022752756263401e-06,1.3502621754035718e-07,2.4201003747670313e-06,-1.6885891489268924e-11,,-21.132646058095204,71.34273941039231,491033.9392922389,5.9138697e-13,6.917493e-13
2023-04-22 17:01:12,-6363721.867852231,355621.193572022,-2554232.20984056,2822.251955067963,-303.828986001187,-7072.8363138301775,,,,-1.6052418372325403e-06,1.8987221922506237e-07,3.673912269963608e-06,-2.5769895169463157e-11,,-22.09073892938946,71.29945620464152,491272.4986237853,5.8848161e-13,6.8821625e-13
2023-04-22 17:01:27,-6320508.2217029,351014.7022579651,-2659964.9237188753,2939.432341138096,-310.35555211953744,-7024.533347171722,,,,1.2090972578704398e-07,-8.520946059853431e-09,-9.977280170936351e-07,6.209989570563728e-12,,-23.048676775221235,71.25643495495123,491518.98965820647,5.8204994e-13,6.8450914e-13
2023-04-22 17:01:42,-6275543.016218197,346310.9593135286,-2764958.4690566435,3055.7888617175777,-316.7956292449827,-6974.282107070825,,,,2.9826704839308604e-07,-2.3325407050300853e-08,-1.329134428296186e-06,8.589699778738897e-12,,-24.006454411031346,71.21369212896337,491773.26303076535,5.7914497e-13,6.80638e-13
2023-04-22 17:01:57,-6228838.816709619,341511.2737435893,-2869183.7095287344,3171.2890790589554,-323.1474292105848,-6922.0969622763405,,,,-1.6024232163402985e-07,3.782287205655877e-08,-1.2351823386325125e-07,2.8219837696775773e-13,,-24.964066776379497,71.171244976383,492035.01869067707,5.7359862e-13,6.766194e-13
2023-04-22 17:02:12,-6180408.7859098,336616.9868313279,-2972611.7845316827,3285.900882727494,-329.40919432627766,-6867.9929535749925,,,,-1.2707948648937872e-07,3.3437021373927684e-08,2.213953465002305e-09,-3.741750207489522e-13,,-25.921509011790786,71.12911159972742,492304.07513059565,5.7193288e-13,6.7245385e-13
2023-04-22 17:02:27,-6130266.397943379,331629.4569159934,-3075213.982474055,3399.592339236214,-335.57918343236315,-6811.9854719448695,,,,-6.235912231034035e-08,1.0830044860909991e-08,-3.236219927593709e-07,1.6773606750553557e-12,,-26.878776431035675,71.08731101937745,492580.0568746512,5.7023263e-13,6.6815336e-13
2023-04-22 17:02:42,-6078425.775081886,326550.0782828042,-3176961.912090888,3512.331895576455,-341.65569101374086,-6754.090637091596,,,,-5.032226457757361e-08,-4.472242243203084e-09,-3.2373097669236017e-07,1.6964479133523229e-12,,-27.835864536822108,71.04586324422436,492862.77330650424,5.6922518e-13,6.637394e-13
2023-04-22 17:02:57,-6024901.356462062,321380.2622337359,-3277827.345934756,3624.0881940495306,-347.6370296692201,-6694.324923927418,,,,-8.5151468098843e-08,1.015876105459057e-09,-3.179313354806368e-07,1.5347856707953877e-12,,-28.7927689976646,71.00478936229426,493151.8523539956,5.6610347e-13,6.592167e-13
2023-04-22 17:03:12,-5969708.200534606,316121.452191825,-3377782.3915019203,3734.8302777183326,-353.5215488086518,-6632.705499463437,,,,-2.4498148398777175e-08,6.643112726578693e-09,-2.783999883959609e-07,1.478678118015827e-12,,-29.749485690309378,70.96411164192175,493447.0887708106,5.6325002e-13,6.545949e-13
2023-04-22 17:03:27,-5912861.673645419,310775.10800366796,-3476799.32940721,3844.527395642332,-359.30761673198435,-6569.249873129149,,,,-6.086876780386774e-09,1.6464741403598993e-08,-2.8589668144007874e-07,1.559940257944375e-12,,-30.706010667935928,70.92385362094188,493748.0934884517,5.5880308e-13,6.499025e-13
2023-04-22 17:03:42,-5854377.754407252,305342.7230890393,-3574850.797796046,3953.149220105756,-364.9936404885132,-6503.976231928748,,,,-8.169125820245426e-09,1.4513860169262928e-08,-2.602498589965308e-07,1.3966432734801349e-12,,-31.66234019289429,70.88404020468444,494054.65041625086,5.5788191e-13,6.4513553e-13
2023-04-22 17:03:57,-5794272.723832363,299825.8067115165,-3671909.618378319,4060.6656397771903,-370.578046924605,-6436.903097357402,,,,-2.8209553804003917e-08,1.5709459566526366e-08,-3.077131509598985e-07,1.5700789594875426e-12,,-32.618470706381004,70.8446977970659,494366.3612860976,5.5145554e-13,6.4031256e-13
2023-04-22 17:04:12,-5732563.460264176,294225.89793671016,-3767948.989591221,4167.04698563787,-376.0593033255633,-6368.049651299467,,,,3.576677531924588e-08,1.0153373308785518e-08,-2.998223944672418e-07,1.734124018148586e-12,,-33.57439886581368,70.80585444519927,494682.99899631,5.4907203e-13,6.354471e-13
2023-04-22 17:04:27,-5669267.137447909,288544.551014858,-3862942.303311875,4272.263815217773,-381.43589770280033,-6297.43540193028,,,,3.899226719283888e-08,1.2507789026727778e-08,-2.9631114273342973e-07,1.7118114971187054e-12,,-34.53012151221915,70.76753997239183,495004.1547870677,5.4733471e-13,6.305469e-13
2023-04-22 17:04:42,-5604401.513404803,282783.3511326732,-3956863.348449833,4376.287149929146,-386.70636053322704,-6225.080502199829,,,,5.1994809346922466e-08,9.161173208926954e-09,-2.450513711949043e-07,1.4770200564738769e-12,,-35.48563570866972,70.72978612727256,495329.5925417837,5.4666533e-13,6.256346e-13
2023-04-22 17:04:57,-5537984.634755617,276943.8981000256,-4049686.116997164,4479.088248646081,-391.8692437117847,-6151.005422777642,,,,2.9292780645562292e-08,-7.75195035940257e-09,-2.9844238813581114e-07,1.6634149305784397e-12,,-36.44093870261089,70.6926267702658,495658.89550184895,5.445254e-13,6.207082e-13
2023-04-22 17:05:12,-5470035.118243181,271027.8192829378,-4141385.016243593,4580.638856207773,-396.9231423400363,-6075.231260436636,,,,7.554087400052367e-08,-1.4397546932443106e-08,-2.8388099426734925e-07,1.7534795658307959e-12,,-37.39602796007794,70.6560980809983,495991.819595001,5.4138239e-13,6.15785e-13
2023-04-22 17:05:27,-5400571.861907519,265036.7559440016,-4231934.665958621,4680.910965087665,-401.8666729712038,-5997.779419935768,,,,1.0439907782711089e-07,-2.113209013332451e-08,-2.861411019239313e-07,1.869412863946862e-12,,-38.3509011319637,70.62023876478962,496327.9409490222,5.3345397e-13,6.108792e-13
2023-04-22 17:05:42,-5329614.318855353,258972.37737593427,-4321310.120533193,4779.877072331141,-406.69849475852214,-5918.671911874704,,,,1.1508462360865225e-07,-1.7363799176273176e-08,-2.352069445876737e-07,1.6465459133835349e-12,,-39.30555609401301,70.58509028618226,496667.009292518,5.2949379e-13,6.0598954e-13
2023-04-22 17:05:57,-5257182.215967278,252836.3662302662,-4409486.655954023,4877.509931767502,-411.4172881122977,-5837.931045018102,,,,7.72419328498586e-08,-1.5057682045682697e-08,-2.778003356240788e-07,1.693645832307511e-12,,-40.25999090488444,70.55069714341475,497008.59552767023,5.2105606e-13,6.011322e-13
2023-04-22 17:06:12,-5183295.820152719,246630.43056365475,-4496439.999969432,4973.7828197897625,-416.0217758711034,-5755.579714949794,,,,1.277615213624017e-07,-6.682220332621114e-10,-2.606193225673792e-07,1.8045631545313828e-12,,-41.21420383922252,70.51710717619432,497352.4444486729,5.1504052e-13,5.963103e-13
2023-04-22 17:06:27,-5107975.6641277885,240356.29103794813,-4582146.110663993,5068.669279056431,-420.51070193015727,-5671.641105087297,,,,1.583152657858023e-07,3.983852414624067e-09,-2.8752547809318685e-07,2.054737416850415e-12,,-42.16819335110472,70.4843718937777,497698.1227685296,5.0391926e-13,5.915273e-13
2023-04-22 17:06:42,-5031242.803806553,234015.69333063063,-4666581.415705661,5162.1433947242385,-424.8828519829892,-5586.138963363633,,,,1.22620168241383e-07,1.681191852398456e-09,-1.8674311252908637e-07,1.4160107229352828e-12,,-43.12195811396049,70.4525468470026,498045.3713238505,4.9878365e-13,5.868023e-13
2023-04-22 17:06:57,-4953118.552863853,227610.39521225495,-4749722.581627049,5254.179525734274,-429.13703280772194,-5499.097313276543,,,,1.2764315204805146e-07,4.751168292127517e-09,-2.201430531201254e-07,1.5884516975064292e-12,,-44.0754969744724,70.42169205162205,498393.7538922013,4.9039308e-13,5.821265e-13
2023-04-22 17:07:12,-4873624.732819704,221142.1778100105,-4831546.760836036,5344.752583666737,-433.2720937225397,-5410.540716067086,,,,7.49276258815712e-08,-3.01875767716453e-08,-3.260176626440625e-07,1.840863814826051e-12,,-45.02880898264372,70.39187246576579,498743.0094506173,4.8661399e-13,5.775187e-13
2023-04-22 17:07:27,-4792783.414780295,214612.8336157964,-4912031.352609362,5433.837755939096,-437.28690683247896,-5320.493999591279,,,,1.6693784488097665e-07,-9.068281403568081e-09,-2.750230549963817e-07,2.0075252115023573e-12,,-45.98189335039242,70.36315852424104,499092.7007910301,4.8098869e-13,5.729666e-13
2023-04-22 17:07:42,-4710617.160351337,208024.1772237131,-4991154.25782395,5521.4107806786715,-441.18039284992653,-5228.982520421568,,,,3.471321106118808e-07,-1.0035636655025826e-08,-2.86367630053519e-07,2.8907287377839405e-12,,-46.934749482393585,70.33562674582875,499442.5658447196,4.8121014e-13,5.6848515e-13
2023-04-22 17:07:57,-4627148.772286692,201378.03385425033,-5068893.632290594,5607.447677907707,-444.95149779500167,-5136.031901336828,,,,2.054670114048918e-07,-3.070411322414479e-08,-2.0325049288061336e-07,1.868827857208589e-12,,-47.88737693304668,70.30936042203743,499792.1674535137,4.8328072e-13,5.640678e-13
