MJD,UTC,EDR,rho_eff,jb08_rho,dtm2000_rho,nrlmsise00_rho
60069.755,2023-05-05 18:07:12,-276.96656116843224,7.328715767075515e-14,6.052682007505513e-13,9.10298958588611e-13,9.68250064136234e-13
60069.75534722222,2023-05-05 18:07:42,-304.53508603200316,8.05819690729084e-14,6.009916082318106e-13,8.922368098870669e-13,9.684498647017057e-13
60069.75569444445,2023-05-05 18:08:12,-327.66719684004784,8.670287639433624e-14,5.962815734155315e-13,8.742184070445345e-13,9.690821836917643e-13
60069.75604166667,2023-05-05 18:08:42,-346.26215475425124,9.162322348168927e-14,5.911401103757421e-13,8.564919000844566e-13,9.698231210883107e-13
60069.75638888889,2023-05-05 18:09:12,-360.8050934560597,9.547137986973574e-14,5.855715926074313e-13,8.392659476858073e-13,9.703370213298133e-13
60069.756736111114,2023-05-05 18:09:42,-371.43389147147536,9.82838291153061e-14,5.79582534893463e-13,8.227061094938437e-13,9.702864994805842e-13
60069.75708333333,2023-05-05 18:10:12,-377.6713942140341,9.993431300418131e-14,5.731813193999424e-13,8.069335488372087e-13,9.693433374122677e-13
60069.75743055555,2023-05-05 18:10:42,-378.97056831792,1.0027808294157585e-13,5.663779228631212e-13,7.920258168599488e-13,9.67200009278377e-13
60069.75777777778,2023-05-05 18:11:12,-375.37113719433546,9.932565000105656e-14,5.591834272689764e-13,7.780190460356944e-13,9.635810087511032e-13
60069.758125,2023-05-05 18:11:42,-367.3834056183696,9.721204415286364e-14,5.516093330668513e-13,7.649113043957263e-13,9.582535168124361e-13
60069.758472222224,2023-05-05 18:12:12,-355.23720210418105,9.399807952012922e-14,5.436662882636666e-13,7.526665875854204e-13,9.51036541264942e-13
60069.75881944445,2023-05-05 18:12:42,-338.8549559265375,8.96632303832619e-14,5.353611823078322e-13,7.412192639691627e-13,9.418079999737569e-13
60069.75916666666,2023-05-05 18:13:12,-318.2925058864057,8.422227205301881e-14,5.266926604861352e-13,7.304785928784944e-13,9.30509001795576e-13
60069.75951388889,2023-05-05 18:13:42,-293.915805593133,7.777203824013844e-14,5.177166202771051e-13,7.203334324111772e-13,9.171452567239301e-13
60069.75986111111,2023-05-05 18:14:12,-266.3301623687148,7.04726972081079e-14,5.085109879821073e-13,7.106566781299314e-13,9.017849983192292e-13
60069.76020833333,2023-05-05 18:14:42,-236.95745242014527,6.270048667071713e-14,4.991407701505654e-13,7.013097814596116e-13,8.845539668699812e-13
60069.76055555556,2023-05-05 18:15:12,-207.3409158065915,5.4863758008229786e-14,4.896646784831204e-13,6.92147225042575e-13,8.656276377353779e-13
60069.76090277778,2023-05-05 18:15:42,-177.71496104449034,4.702453724223851e-14,4.801367397476837e-13,6.830209012488307e-13,8.452211566647689e-13
60069.76125,2023-05-05 18:16:12,-147.71594101563096,3.9086600974595883e-14,4.706070266916338e-13,6.737848507155774e-13,8.23578209329799e-13
60069.76159722222,2023-05-05 18:16:42,-117.45787260681392,3.108011881684212e-14,4.611219802511959e-13,6.643001132493585e-13,8.009592994788001e-13
60069.76194444444,2023-05-05 18:17:12,-87.58760119602084,2.3176250272870933e-14,4.5172457936112887e-13,6.544397392154114e-13,7.776303158557224e-13
60069.762291666666,2023-05-05 18:17:42,-58.627582751214504,1.5513240597772278e-14,4.424544272033518e-13,6.440938451311097e-13,7.538520699957444e-13
60069.76263888889,2023-05-05 18:18:12,-30.532159216701984,8.079008372358253e-15,4.3334781900847765e-13,6.331745574918781e-13,7.298714022218211e-13
60069.76298611111,2023-05-05 18:18:42,-3.2406548261642456,8.574983933066284e-16,4.2443783453668546e-13,6.216205849292589e-13,7.0591426019291e-13
60069.763333333336,2023-05-05 18:19:12,22.70243740454316,-6.007212937757477e-15,4.1575443624445086e-13,6.094010023052239e-13,6.821808820900454e-13
60069.76368055555,2023-05-05 18:19:42,46.172497395426035,-1.221754381610454e-14,4.073246193724113e-13,5.965178712279651e-13,6.588431346509425e-13
60069.764027777775,2023-05-05 18:20:12,65.88191882893443,-1.7432785216016626e-14,3.9917244225660664e-13,5.830070562963509e-13,6.360436029843778e-13
60069.764375,2023-05-05 18:20:42,81.29649883508682,-2.151158357554985e-14,3.9131917561899456e-13,5.689372669309506e-13,6.138965358928401e-13
60069.76472222222,2023-05-05 18:21:12,93.5287551805377,-2.47483183484273e-14,3.837834538747625e-13,5.544070410134923e-13,5.924901382105279e-13
60069.765069444446,2023-05-05 18:21:42,104.32987909764051,-2.760636615100189e-14,3.765814331212375e-13,5.395397914271179e-13,5.718898542380875e-13
60069.76541666667,2023-05-05 18:22:12,114.0963546000421,-3.019063923802194e-14,3.697270029125019e-13,5.244773499543034e-13,5.521423445266527e-13
60069.76576388889,2023-05-05 18:22:42,121.98960991948844,-3.227924605283524e-14,3.6323200810052133e-13,5.093725248243178e-13,5.332797380198802e-13
60069.76611111111,2023-05-05 18:23:12,127.9337351322174,-3.3852100334746394e-14,3.571063220633197e-13,4.94381163904915e-13,5.153236195599785e-13
60069.76645833333,2023-05-05 18:23:42,133.032595038414,-3.520129190614073e-14,3.513580890029875e-13,4.796549084458317e-13,4.982889505591642e-13
60069.766805555555,2023-05-05 18:24:12,138.43374424427748,-3.663047119689515e-14,3.459938411951319e-13,4.653348636690547e-13,4.821872878151257e-13
60069.76715277778,2023-05-05 18:24:42,144.47791285067797,-3.822979761296934e-14,3.410187443202868e-13,4.5154699395924404e-13,4.67029516768252e-13
60069.7675,2023-05-05 18:25:12,151.16866214200854,-4.0000213493430236e-14,3.3643671100073413e-13,4.3839911495532785e-13,4.5282766300302725e-13
