UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,JB08,DTM2000,NRLMSISE00
2024-05-08 22:10:42,2794672.04747211,-4274109.620153854,-4590314.613772348,2956.750163544244,-4149.986624166624,5655.598485188798,,,,1.3111690400080533e-08,-6.072282854319155e-08,-2.38929990459269e-07,-8.994017383743295e-13,3.446741326394558e-13,3.3051515602302825e-13,3.603047061003228e-13
2024-05-08 22:11:42,2965765.102706269,-4513472.08575623,-4241048.859605622,2744.237598246938,-3825.8028786205696,5982.304482233819,,,,8.384646843495602e-08,-9.807204559564298e-08,-2.296708618843013e-07,-6.519439545954898e-13,3.482975454226814e-13,3.3372938590714557e-13,3.6572601874531426e-13
2024-05-08 22:12:42,3123736.359434221,-4732865.305185536,-3872967.024397478,2519.5169009784686,-3484.588699111278,6282.566875816218,,,,1.1850044945305171e-07,-1.8075525254346303e-07,-3.3783312147761535e-07,-1.0120499904641182e-12,3.528096526236789e-13,3.3793343916251486e-13,3.718723616593002e-13
2024-05-08 22:13:42,3267882.675050039,-4931312.0496887,-3487696.7366495947,2283.575103175762,-3127.8428873459916,6555.038130622541,,,,1.4213857379985484e-07,-1.6893693643993402e-07,-2.407835033579886e-07,-6.146666628551747e-13,3.5804164337632575e-13,3.4332290859087833e-13,3.78308307683149e-13
2024-05-08 22:14:42,3397561.6859702645,-5107927.176248979,-3086942.92217963,2037.450640894936,-2757.1355620785152,6798.4899487267585,,,,1.1851037040599977e-07,-1.6313903916653771e-07,-2.3176333519003833e-07,-7.486435015533533e-13,3.6380346678393805e-13,3.5011055688818507e-13,3.8462296887854826e-13
2024-05-08 22:15:42,3512194.8050201586,-5261921.790481269,-2672480.4690246205,1782.2302859294898,-2374.1039033886937,7011.819961796486,,,,1.5304029865603752e-07,-2.1859732868279025e-07,-1.1412690392731406e-07,-7.658104977534964e-15,3.698773848685694e-13,3.583850088229803e-13,3.904510674305514e-13
2024-05-08 22:16:42,3611269.9715775875,-5392607.054722078,-2246146.423772501,1519.04375971633,-1980.4444386876369,7194.059790146525,,,,2.4489780248160287e-07,-2.60090548209746e-07,-1.7720636602547302e-07,-3.280043225955566e-13,3.7600425124866336e-13,3.6799469291867365e-13,3.9547529380657136e-13
2024-05-08 22:17:42,3694344.0463301977,-5499397.471195291,-1809831.7770728136,1249.0577997800322,-1577.9036753116523,7344.380214718654,,,,2.8688686448674616e-07,-3.3441590208127536e-07,-4.206291848163346e-08,4.875853767910692e-13,3.8184792387552227e-13,3.78476571930071e-13,3.9944045725551525e-13
2024-05-08 22:18:42,3761044.8745196243,-5581813.595329816,-1365473.041384842,973.4711450125756,-1168.26914899598,7462.093219901466,,,,2.879528189225766e-07,-1.3423664491085674e-07,8.135195472824819e-08,8.822096166041679e-13,3.873220789425887e-13,3.890540845559198e-13,4.0219611429714174e-13
2024-05-08 22:19:42,3811073.0890285363,-5639484.35485959,-915043.7171257788,693.510512319204,-753.3648528665487,7546.654998165766,,,,3.13935558438061e-07,-5.827783908785023e-07,-1.0312424469915982e-07,-1.0144721820335197e-13,3.9255689544873425e-13,3.9873564833358275e-13,4.03756474593512e-13
