,Epoch,x,y,z,xv,yv,zv,accx,accy,accz,JB08 Density,DTM2000 Density,NRLMSISE00 Density,Accelerometer Density,Computed Density
0,2023-05-05 00:00:27,6773848.429960198,-643042.4617597136,-1011755.2095468688,1123.001089624912,31.0719132560808,7524.881501061029,-1.1703813951157473e-06,-1.0589789769573803e-05,1.6364714342032827e-08,5.832661856709226e-13,9.367826258657201e-13,9.380295754565176e-13,-1.2878036484378614e-12,6.093017413358708e-13
1,2023-05-05 00:00:42,6789758.407108163,-642487.7012993675,-898747.2525486122,998.2763418688212,42.894858502658096,7542.499330502262,-1.1682773028049798e-06,-1.058998482749882e-05,1.4322412463908308e-08,5.864660493964484e-13,9.4721374945998e-13,9.451934372243216e-13,-1.2812028876434753e-12,-2.294010533585648e-12
2,2023-05-05 00:00:57,6803795.308032878,-641755.6722400285,-785490.6582585549,873.269163541905,54.706572704746925,7558.031569890123,-1.1655394799517381e-06,-1.0590311002113494e-05,1.2067208084187705e-08,5.895952672481889e-13,9.578767573788112e-13,9.52366981903695e-13,-1.275655512317754e-12,3.2678394526057104e-13
3,2023-05-05 00:01:12,6815955.2422427535,-640846.576316949,-672016.755203549,748.0141376062271,66.50375970823343,7571.473809422008,-1.1622587796115194e-06,-1.059056155146082e-05,9.508197204093397e-09,5.926520124140271e-13,9.687446073756745e-13,9.595345785520778e-13,-1.2719978424282641e-12,2.1816270144277066e-12
4,2023-05-05 00:01:27,6826234.665468128,-639760.6482581485,-558356.9143594387,622.5458833440515,78.28313207852663,7582.821997422905,-1.1586182782080891e-06,-1.0590930296179648e-05,6.6475189270336445e-09,5.956361874754447e-13,9.79789932498597e-13,9.666836800359236e-13,-1.2704993106093714e-12,7.271429986051922e-13
5,2023-05-05 00:01:42,6834630.726409336,-638498.1878879266,-444542.5814141531,496.899134904125,90.04141989583327,7592.072778763047,-1.154983708725741e-06,-1.0591232486079012e-05,3.894606126118398e-09,5.985460817093745e-13,9.90979722451876e-13,9.737997323895433e-13,-1.2687878857388572e-12,2.0551682101950485e-12
6,2023-05-05 00:01:57,6841140.921390913,-637059.527667201,-330605.2335872669,371.10869575168823,101.7753582231584,7599.22316649724,-1.1514416944828697e-06,-1.0591600178853035e-05,1.2808733841753973e-09,6.013817571839016e-13,1.0022807694840833e-12,9.80871593608974e-13,-1.2666858162540424e-12,4.7623579488080254e-14
7,2023-05-05 00:02:12,6845763.444264245,-635445.0655070813,-216576.39951284928,245.2095317514736,113.48168453990245,7604.270949873388,-1.148207980589797e-06,-1.0591855232873677e-05,-1.273433394946226e-09,6.041416479871105e-13,1.0136542792700934e-12,9.878863033632405e-13,-1.2646972686234764e-12,1.3478994267414466e-12
8,2023-05-05 00:02:27,6848496.838797025,-633655.2318938129,-102487.62781112416,119.23667077517568,125.15714066972464,7607.214324532423,-1.1452875493631414e-06,-1.0592173190961904e-05,-4.052715333374835e-09,6.068259836392066e-13,1.025061525106229e-12,9.948345312379137e-13,-1.2645620224623904e-12,5.316955502098086e-13
9,2023-05-05 00:02:42,6849340.35089534,-631690.5221639918,11629.504367561563,-6.77477367715356,136.79848339692387,7608.052335494352,-1.1422352044828078e-06,-1.059236408213211e-05,-7.066884883342063e-09,6.094333376831275e-13,1.0364584043067771e-12,1.001705209882826e-12,-1.2662160478024313e-12,-8.779078230397208e-13
