UTC,Computed Density,JB08 Density,DTM2000 Density,NRLMSISE00 Density,x,y,z,xv,yv,zv,accx,accy,accz
2023-05-04 22:04:12,1.4712388920655219e-12,3.751222802168663e-13,5.832075983603438e-13,5.399093178059536e-13,-177800.5821478304,-106591.20997009064,-6868529.496683887,7571.206718299095,-700.5398236228257,-194.90638020718413,2.2756624359909772e-07,-4.745575293840787e-08,1.4926576064056007e-07
2023-05-04 22:04:27,8.631571418016307e-13,3.749836665033581e-13,5.843914691886226e-13,5.419620266176622e-13,-64213.25815782072,-117084.18906647393,-6870506.407717499,7573.422834607004,-698.492050069309,-68.67998526082239,1.34933538439852e-07,-1.0435048714008133e-08,2.5683230653328337e-07
2023-05-04 22:04:42,6.4535136114604e-13,3.752849756144925e-13,5.858116978263297e-13,5.435846743774986e-13,49391.69637084961,-127545.01276912016,-6870589.843898254,7573.557449364952,-696.2524240757427,57.556941056845545,9.787154176682522e-08,4.174858320160624e-09,2.9425458514253933e-07
2023-05-04 22:04:57,4.3546566014084054e-13,3.789115783294692e-13,5.87466297320769e-13,5.458967899674207e-13,162983.05818610732,-137970.805760974,-6868779.818618771,7571.610695773961,-693.8215568396772,183.7700738576237,6.325589196887194e-08,4.977558171193053e-09,1.8629297926509025e-07
2023-05-04 22:05:12,5.001510620924159e-13,3.8027156179641715e-13,5.893505892444698e-13,5.484834376074819e-13,276529.61471312935,-148358.7064613119,-6865077.0320660435,7567.583445445029,-691.2001358073117,309.92509843214697,7.246563621388091e-08,3.159764988547309e-08,1.906906135218378e-07
2023-05-04 22:05:27,5.812777628239189e-13,3.8050445027101256e-13,5.914601984330616e-13,5.511676022381774e-13,390000.1640743433,-158705.8604055165,-6859482.527512512,7561.476939481523,-688.3888846983858,435.98771219184977,7.736154455928457e-08,-1.6314293055375018e-08,1.942760992079684e-07
2023-05-04 22:05:42,7.955319195387388e-13,3.8027832218510813e-13,5.93788012847324e-13,5.539428950429453e-13,503363.5365039299,-169009.42785706394,-6851998.033778017,7553.293158546286,-685.3885960781457,561.9236508525339,1.044995544541294e-07,-9.901648362342641e-09,2.4198890535842565e-07
2023-05-04 22:05:57,6.410423501684078e-13,3.7987161759045096e-13,5.963272235682223e-13,5.568136048429552e-13,616588.5837836566,-179266.57711280134,-6842625.622183158,7543.034453875069,-682.2000952622404,687.6986757655824,8.185341382471734e-08,-2.379541286234854e-09,1.9200177980849276e-07
2023-05-04 22:06:12,1.5666027417630208e-13,3.794111200736115e-13,5.990683025534913e-13,5.597803263711837e-13,729644.2117738853,-189474.49387496675,-6831368.048504166,7530.7039194356885,-678.8242697224263,813.2786125203316,-1.3087631201003092e-08,-3.00673725084355e-08,3.1848824022517874e-07
2023-05-04 22:06:27,2.563999331026352e-13,3.7896224867275344e-13,6.02002102614122e-13,5.628435467940721e-13,842499.3591444864,-199630.3729212277,-6818228.409972891,7516.305018635682,-675.2620390103439,938.6293293565354,1.1946645894767016e-08,-8.169838500160509e-09,2.1702638974829824e-07
2023-05-04 22:06:42,-4.774834150723287e-13,3.7856046187874997e-13,6.051168553108899e-13,5.660014882237799e-13,955123.0417247673,-209731.42792557908,-6803210.48518802,7499.8419499093,-671.514388841064,1063.7168008776575,-9.151042812405308e-08,-1.2806108062868304e-08,1.0885863943599361e-07
2023-05-04 22:06:57,3.0563108326274384e-13,3.78227588142034e-13,6.084013254742305e-13,5.692535637588955e-13,1067484.3191047441,-219774.88255694378,-6786318.39261918,7481.319272030601,-667.5823389174309,1188.5070605167236,2.2748614325607264e-08,-2.0374991582805535e-08,1.4619263311033137e-07
2023-05-04 22:07:12,8.707198560718887e-13,3.779763255175066e-13,6.118418158150412e-13,5.725976037244568e-13,1179552.3487578263,-229757.98156762955,-6767556.928852906,7460.742250106166,-663.4669787299514,1312.9662706613015,1.1828453194695498e-07,-1.506940966455872e-08,9.845756210324907e-08
2023-05-04 22:07:27,3.9405221414016076e-13,3.7781572431719805e-13,6.154253788578643e-13,5.760329776190208e-13,1291296.3425543453,-239677.98080410218,-6746931.228628029,7438.116501313459,-659.1694321184768,1437.0606569004137,2.41331825634461e-08,-2.070443172463854e-08,1.863879344199404e-07
2023-05-04 22:07:42,4.314548889176648e-13,3.7775087819129595e-13,6.191368144610525e-13,5.795576124922761e-13,1402685.6320689253,-249532.15940607525,-6724447.101175628,7413.44834478098,-654.690890532569,1560.7565686743633,7.3111572351791665e-09,3.225802969186731e-08,3.015880967183193e-07
2023-05-04 22:07:57,-5.133672791702715e-14,3.77786088723305e-13,6.229619410403116e-13,5.831710358587897e-13,1513689.6138500546,-259317.80857625685,-6700110.691857154,7386.744454196906,-650.0325770049502,1684.0204232099459,-5.025779481471204e-08,-8.501549353390203e-09,1.802959399554993e-07
2023-05-04 22:08:12,-6.115743162823557e-13,3.779233660667961e-13,6.268845780589784e-13,5.86871316173675e-13,1624277.8246373874,-269032.24447608524,-6673928.816063297,7358.012219537138,-645.195773291273,1806.8187850286538,-1.2484494837927684e-07,-6.336648722404803e-08,8.771069737179005e-08
2023-05-04 22:08:27,2.1603171832330944e-14,3.7816493983537295e-13,6.308898688181115e-13,5.906580913865469e-13,1734419.8768348705,-278672.796189079,-6645908.623014278,7327.259385605664,-640.1817900667718,1929.1182994466715,-1.9484502011835048e-08,-3.694609290727513e-08,7.451980188477592e-08
2023-05-04 22:08:42,7.835890552877995e-13,3.785113832141614e-13,6.349612280098566e-13,5.945294580310725e-13,1844085.5453124528,-288236.8195283482,-6616057.927219191,7294.494400231098,-634.9919949620903,2050.8857876642546,9.257964528330831e-08,-1.9740371892673636e-08,1.1288787860053162e-07
2023-05-04 22:08:57,2.134571522030957e-13,3.789639041694925e-13,6.390837150384666e-13,5.984850125951006e-13,1953244.6912194404,-297721.6841444855,-6584384.874635517,7259.726062401588,-629.6277857846217,2172.0881613835104,-1.2712367158940197e-08,1.0847283293813348e-08,1.6034362637640243e-07
2023-05-04 22:09:12,-1.2679465724514035e-13,3.795223270199938e-13,6.432409353393273e-13,6.025227008713861e-13,2061867.3583565638,-307124.7883084214,-6550898.271725422,7222.9638727188185,-624.0906240933555,2292.692518429874,-8.634911541349766e-08,2.7495336230032308e-08,2.1362026103588505e-07
2023-05-04 22:09:27,-1.913898290204674e-13,3.8018730454391093e-13,6.474184637019099e-13,6.066418887743502e-13,2169923.687203204,-316443.54511982686,-6515607.253367516,7184.217683619884,-618.3820020409331,2412.6660570748404,-6.095122362381744e-08,-2.975918461656235e-08,8.034049692184908e-08
2023-05-04 22:09:42,-4.1147367003590973e-13,3.809582412368915e-13,6.516006981118846e-13,6.108401858164082e-13,2277384.022301923,-325675.3983729965,-6478521.607601527,7143.498053270032,-612.5034704030023,2531.9761912507925,-8.140928864364128e-08,-4.987449825355483e-08,2.6579640710622243e-08
